Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Atlanta Hawks,40.0,42.0,38.0,44.0,-1.13,-0.28,-1.41,114.6,115.7,102.6,0.252,0.41,0.546,13.2,26.3,0.196,0.56,13.8,76.0,0.202,State Farm Arena,657613.0
Boston Celtics,61.0,21.0,62.0,20.0,9.11,-0.83,8.28,120.6,111.1,95.7,0.212,0.536,0.561,10.8,25.7,0.169,0.522,11.6,76.0,0.154,TD Garden,785396.0
Brooklyn Nets,26.0,56.0,23.0,59.0,-7.11,0.16,-6.95,108.5,115.8,96.4,0.24,0.458,0.516,13.7,24.5,0.189,0.557,13.7,75.0,0.218,Barclays Center,713304.0
Charlotte Hornets,19.0,63.0,20.0,62.0,-9.11,0.01,-9.1,107.3,116.6,97.6,0.222,0.43,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19,Spectrum Center,703935.0
Chicago Bulls,39.0,43.0,37.0,45.0,-1.56,-0.27,-1.83,114.1,115.6,102.8,0.214,0.457,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178,United Center,825659.0
Cleveland Cavaliers,64.0,18.0,62.0,20.0,9.54,-0.73,8.81,121.7,112.2,99.8,0.241,0.457,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,Rocket Arena,796712.0
Dallas Mavericks,39.0,43.0,38.0,44.0,-1.2,0.46,-0.74,114.8,116.0,99.2,0.263,0.389,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,American Airlines Center,803174.0
Denver Nuggets,50.0,32.0,50.0,32.0,3.89,0.08,3.97,119.9,116.0,99.8,0.259,0.356,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,Ball Arena,811211.0
Detroit Pistons,44.0,38.0,46.0,36.0,1.9,-0.17,1.73,115.0,113.1,99.8,0.248,0.394,0.547,13.0,26.2,0.192,0.539,13.3,76.0,0.214,Little Caesars Arena,781929.0
Golden State Warriors,48.0,34.0,49.0,33.0,3.3,0.25,3.56,115.0,111.7,98.7,0.244,0.469,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189,Chase Center,740624.0
Houston Rockets,52.0,30.0,52.0,30.0,4.51,0.45,4.97,115.3,110.8,98.6,0.242,0.384,0.523,11.8,31.7,0.178,0.528,12.8,76.2,0.186,Toyota Center,716853.0
Indiana Pacers,50.0,32.0,46.0,36.0,2.23,-0.55,1.68,116.5,114.3,99.9,0.241,0.4,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19,Gainbridge Fieldhouse,685434.0
Los Angeles Clippers,50.0,32.0,53.0,29.0,4.66,0.18,4.84,115.1,110.3,97.5,0.251,0.387,0.554,13.4,24.4,0.2,0.536,13.7,77.5,0.189,Intuit Dome,679593.0
Los Angeles Lakers,50.0,32.0,44.0,38.0,1.22,0.23,1.45,115.9,114.7,97.6,0.271,0.425,0.557,12.7,23.3,0.213,0.539,12.2,74.5,0.178,Crypto.com Arena,767626.0
Memphis Grizzlies,48.0,34.0,52.0,30.0,4.85,-0.06,4.79,117.7,113.0,103.3,0.249,0.406,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206,FedEx Forum,683067.0
Miami Heat,37.0,45.0,42.0,40.0,0.56,-0.45,0.11,113.5,112.9,96.2,0.232,0.429,0.544,12.4,22.3,0.183,0.543,12.5,75.8,0.157,Kaseya Center,808337.0
Milwaukee Bucks,48.0,34.0,47.0,35.0,2.48,-0.36,2.12,115.9,113.4,99.3,0.268,0.424,0.568,12.2,19.3,0.201,0.533,11.4,76.2,0.174,Fiserv Forum,732014.0
Minnesota Timberwolves,49.0,33.0,53.0,29.0,5.0,0.15,5.15,116.6,111.5,97.3,0.249,0.455,0.554,13.0,25.8,0.196,0.532,13.2,75.1,0.178,Target Center,772249.0
New Orleans Pelicans,21.0,61.0,20.0,62.0,-9.43,0.84,-8.59,110.4,119.9,99.1,0.244,0.385,0.519,12.8,26.3,0.184,0.564,12.3,72.7,0.19,Smoothie King Center,689400.0
New York Knicks,51.0,31.0,51.0,31.0,4.1,-0.51,3.59,118.5,114.3,96.7,0.232,0.382,0.556,11.9,26.0,0.186,0.549,13.1,74.5,0.176,Madison Square Garden (IV),811794.0
Oklahoma City Thunder,68.0,14.0,68.0,14.0,12.87,-0.16,12.7,120.3,107.5,100.0,0.22,0.419,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211,Paycom Center,754832.0
Orlando Magic,41.0,41.0,41.0,41.0,-0.12,-0.58,-0.7,109.4,109.6,96.1,0.269,0.411,0.51,12.9,25.3,0.208,0.538,15.0,77.0,0.22,Kia Center,762121.0
Philadelphia 76ers,24.0,58.0,26.0,56.0,-6.23,-0.06,-6.29,111.9,118.2,97.4,0.257,0.426,0.527,12.3,23.4,0.201,0.57,14.3,71.8,0.194,Wells Fargo Center,813621.0
