Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,@,ATL,L,116,120,,40,91,.440,17,43,.395,23,48,.479,.533,19,25,.760,12,31,43,21,8,6,19,32
2,2,2024-10-25,@,ORL,L,101,116,,35,83,.422,14,37,.378,21,46,.457,.506,17,21,.810,8,29,37,22,7,3,19,31
3,3,2024-10-27,,MIL,W,115,102,,39,91,.429,16,45,.356,23,46,.500,.516,21,23,.913,12,35,47,23,9,3,12,26
4,4,2024-10-29,,DEN,L,139,144,OT,49,96,.510,20,52,.385,29,44,.659,.615,21,27,.778,7,34,41,37,4,6,9,32
5,5,2024-10-30,@,MEM,W,119,106,,41,80,.513,15,41,.366,26,39,.667,.606,22,25,.880,8,26,34,27,10,2,19,25
6,6,2024-11-01,,CHI,W,120,112,,49,94,.521,11,36,.306,38,58,.655,.580,11,13,.846,9,37,46,34,11,6,11,20
7,7,2024-11-03,,DET,L,92,106,,32,71,.451,9,31,.290,23,40,.575,.514,19,31,.613,4,23,27,23,9,3,14,24
8,8,2024-11-04,,MEM,W,106,104,,40,84,.476,13,36,.361,27,48,.563,.554,13,18,.722,12,25,37,28,7,1,14,22
9,9,2024-11-08,@,BOS,L,104,108,OT,41,100,.410,10,38,.263,31,62,.500,.460,12,15,.800,12,39,51,24,6,3,13,22
10,10,2024-11-09,@,CLE,L,100,105,,34,76,.447,15,43,.349,19,33,.576,.546,17,18,.944,10,26,36,21,4,2,20,14
11,11,2024-11-11,@,NOP,W,107,105,,36,84,.429,19,42,.452,17,42,.405,.542,16,19,.842,14,32,46,24,4,5,17,14
12,12,2024-11-13,,BOS,L,114,139,,40,79,.506,19,43,.442,21,36,.583,.627,15,18,.833,3,31,34,26,4,3,13,20
13,13,2024-11-15,@,NYK,L,122,124,,39,89,.438,19,46,.413,20,43,.465,.545,25,28,.893,10,27,37,27,8,2,9,22
14,14,2024-11-17,@,NYK,L,104,114,,32,76,.421,17,41,.415,15,35,.429,.533,23,30,.767,7,28,35,31,1,3,9,19
15,15,2024-11-19,,CHO,W,116,115,,42,85,.494,18,41,.439,24,44,.545,.600,14,19,.737,10,26,36,31,8,8,15,19
16,16,2024-11-22,@,PHI,L,98,113,,39,79,.494,13,37,.351,26,42,.619,.576,7,7,1.000,7,27,34,28,1,4,19,17
17,17,2024-11-24,@,SAC,W,108,103,,36,75,.480,19,39,.487,17,36,.472,.607,17,25,.680,6,25,31,24,7,5,14,23
18,18,2024-11-25,@,GSW,W,128,120,,41,83,.494,20,45,.444,21,38,.553,.614,26,30,.867,7,35,42,23,6,3,12,18
19,19,2024-11-27,@,PHO,W,127,117,,44,87,.506,18,42,.429,26,45,.578,.609,21,22,.955,7,29,36,32,8,1,13,24
20,20,2024-11-29,,ORL,L,100,123,,38,77,.494,14,29,.483,24,48,.500,.584,10,14,.714,5,30,35,22,5,5,20,21
21,21,2024-12-01,,ORL,L,92,100,,30,79,.380,8,31,.258,22,48,.458,.430,24,31,.774,8,25,33,19,10,3,17,31
22,22,2024-12-02,@,CHI,L,102,128,,38,95,.400,14,42,.333,24,53,.453,.474,12,15,.800,10,31,41,24,9,5,13,19
23,23,2024-12-04,,IND,W,99,90,,35,81,.432,12,36,.333,23,45,.511,.506,17,23,.739,7,36,43,24,12,6,17,18
24,24,2024-12-08,,MIL,L,113,118,,41,81,.506,16,35,.457,25,46,.543,.605,15,16,.938,7,23,30,24,9,3,13,25
25,25,2024-12-13,@,MEM,L,119,135,,42,92,.457,20,53,.377,22,39,.564,.565,15,19,.789,8,33,41,30,9,7,18,20
26,26,2024-12-16,,CLE,L,101,130,,34,81,.420,14,34,.412,20,47,.426,.506,19,24,.792,9,26,35,25,11,2,22,28
27,27,2024-12-19,@,TOR,W,101,94,,33,82,.402,9,39,.231,24,43,.558,.457,26,31,.839,15,38,53,18,3,6,17,21
28,28,2024-12-21,,UTA,L,94,105,,38,94,.404,7,40,.175,31,54,.574,.441,11,12,.917,16,34,50,24,9,3,19,17
29,29,2024-12-23,@,MIA,L,95,110,,33,84,.393,13,34,.382,20,50,.400,.470,16,20,.800,11,31,42,23,9,2,15,18
30,30,2024-12-26,@,MIL,W,111,105,,39,82,.476,16,38,.421,23,44,.523,.573,17,22,.773,9,29,38,25,8,1,21,11
31,31,2024-12-27,,SAS,L,87,96,,35,90,.389,12,41,.293,23,49,.469,.456,5,8,.625,12,33,45,22,8,4,18,22
32,32,2024-12-29,@,ORL,L,101,102,,32,73,.438,13,30,.433,19,43,.442,.527,24,28,.857,9,29,38,22,7,3,17,19
33,33,2025-01-01,@,TOR,L,113,130,,42,87,.483,11,37,.297,31,50,.620,.546,18,20,.900,4,28,32,28,8,2,13,17
34,34,2025-01-02,@,MIL,W,113,110,,38,88,.432,12,39,.308,26,49,.531,.500,25,28,.893,14,37,51,26,8,3,14,21
35,35,2025-01-04,,PHI,L,94,123,,34,82,.415,14,41,.341,20,41,.488,.500,12,19,.632,6,33,39,22,6,4,22,21
36,36,2025-01-06,,IND,L,99,113,,41,98,.418,10,33,.303,31,65,.477,.469,7,11,.636,20,31,51,23,8,3,14,19
37,37,2025-01-08,,DET,L,98,113,,33,86,.384,13,39,.333,20,47,.426,.459,19,21,.905,9,29,38,24,10,4,15,15
38,38,2025-01-10,@,DEN,L,105,124,,38,90,.422,14,45,.311,24,45,.533,.500,15,19,.789,10,29,39,26,9,5,17,24
39,39,2025-01-12,@,UTA,L,111,112,OT,39,92,.424,10,40,.250,29,52,.558,.478,23,35,.657,15,39,54,26,5,5,11,17
40,40,2025-01-14,@,POR,W,132,114,,49,90,.544,19,41,.463,30,49,.612,.650,15,18,.833,10,34,44,36,11,2,13,21
41,41,2025-01-15,@,LAC,L,67,126,,25,83,.301,5,28,.179,20,55,.364,.331,12,22,.545,15,24,39,15,9,2,22,16
42,42,2025-01-17,@,LAL,L,101,102,,37,82,.451,17,38,.447,20,44,.455,.555,10,13,.769,12,33,45,28,5,6,17,14
43,43,2025-01-19,@,OKC,L,101,127,,37,87,.425,12,43,.279,25,44,.568,.494,15,19,.789,12,29,41,25,5,3,17,13
44,44,2025-01-21,,NYK,L,95,99,,32,86,.372,12,40,.300,20,46,.435,.442,19,25,.760,14,33,47,21,4,9,17,18
45,45,2025-01-22,,PHO,L,84,108,,34,91,.374,7,36,.194,27,55,.491,.412,9,14,.643,20,32,52,16,8,1,17,11
46,46,2025-01-25,,MIA,L,97,106,,30,80,.375,14,40,.350,16,40,.400,.463,23,26,.885,8,27,35,23,11,5,15,21
47,47,2025-01-27,,SAC,L,96,110,,30,82,.366,10,36,.278,20,46,.435,.427,26,30,.867,16,23,39,19,9,3,16,20
48,48,2025-01-29,@,CHO,W,104,83,,39,80,.488,10,32,.313,29,48,.604,.550,16,20,.800,7,33,40,27,11,8,11,18
49,49,2025-02-01,@,HOU,W,110,98,,43,87,.494,10,27,.370,33,60,.550,.552,14,21,.667,13,33,46,24,5,8,11,16
50,50,2025-02-04,,HOU,W,99,97,,38,82,.463,10,27,.370,28,55,.509,.524,13,17,.765,10,29,39,26,10,9,14,25
51,51,2025-02-05,,WAS,L,102,119,,36,83,.434,13,38,.342,23,45,.511,.512,17,23,.739,12,25,37,26,7,3,10,20
52,52,2025-02-07,,MIA,W,102,86,,39,93,.419,10,37,.270,29,56,.518,.473,14,18,.778,18,39,57,17,8,13,14,15
53,53,2025-02-10,,CHO,W,97,89,,37,93,.398,10,42,.238,27,51,.529,.452,13,14,.929,19,28,47,24,10,6,17,24
54,54,2025-02-12,,PHI,W,100,96,,40,85,.471,8,30,.267,32,55,.582,.518,12,15,.800,16,34,50,23,13,7,18,18
55,55,2025-02-20,,CLE,L,97,110,,38,95,.400,10,38,.263,28,57,.491,.453,11,19,.579,14,31,45,25,7,10,16,23
56,56,2025-02-22,@,PHI,W,105,103,,41,81,.506,7,28,.250,34,53,.642,.549,16,19,.842,9,30,39,27,10,8,16,19
57,57,2025-02-24,@,WAS,L,99,107,,33,84,.393,14,36,.389,19,48,.396,.476,19,24,.792,16,23,39,25,16,4,18,28
58,58,2025-02-26,,OKC,L,121,129,,38,93,.409,23,61,.377,15,32,.469,.532,22,25,.880,18,28,46,31,7,5,15,25
59,59,2025-02-28,,POR,L,102,121,,36,87,.414,7,29,.241,29,58,.500,.454,23,27,.852,21,24,45,20,13,2,21,23
60,60,2025-03-01,@,DET,L,94,115,,29,95,.305,6,39,.154,23,56,.411,.337,30,35,.857,14,24,38,19,12,8,14,24
61,61,2025-03-04,@,SAS,L,113,127,,39,86,.453,17,50,.340,22,36,.611,.552,18,21,.857,11,29,40,29,8,2,13,16
62,62,2025-03-06,,GSW,L,119,121,,44,87,.506,15,33,.455,29,54,.537,.592,16,18,.889,8,24,32,30,7,5,12,24
63,63,2025-03-08,@,CHO,L,102,105,,38,82,.463,14,50,.280,24,32,.750,.549,12,15,.800,8,29,37,20,6,10,13,19
64,64,2025-03-10,,LAL,W,111,108,,37,90,.411,18,45,.400,19,45,.422,.511,19,30,.633,16,31,47,22,10,6,7,16
65,65,2025-03-11,@,CLE,L,104,109,,39,84,.464,16,44,.364,23,40,.575,.560,10,14,.714,8,30,38,31,9,3,15,21
66,66,2025-03-13,@,CHI,L,110,116,,43,96,.448,11,34,.324,32,62,.516,.505,13,18,.722,15,35,50,32,6,7,9,26
67,67,2025-03-15,,BOS,L,113,115,,42,90,.467,20,46,.435,22,44,.500,.578,9,13,.692,18,27,45,34,4,3,9,21
68,68,2025-03-16,,ATL,W,122,114,,43,90,.478,17,35,.486,26,55,.473,.572,19,23,.826,12,28,40,33,7,5,17,18
69,69,2025-03-18,@,BOS,L,96,104,,36,88,.409,13,45,.289,23,43,.535,.483,11,17,.647,8,31,39,21,9,2,9,19
70,70,2025-03-20,@,IND,L,99,105,OT,36,101,.356,14,50,.280,22,51,.431,.426,13,18,.722,14,33,47,20,11,4,16,24
