Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,@,HOU,W,110,105,,38,85,.447,15,39,.385,23,46,.500,.535,19,24,.792,15,41,56,20,6,10,17,21
2,2,2024-10-25,@,ATL,L,120,125,,37,96,.385,21,51,.412,16,45,.356,.495,25,31,.806,22,31,53,22,7,4,18,28
3,3,2024-10-26,,MIA,L,106,114,,39,89,.438,13,41,.317,26,48,.542,.511,15,21,.714,15,31,46,20,6,5,20,24
4,4,2024-10-30,,TOR,W,138,133,,49,94,.521,20,45,.444,29,49,.592,.628,20,25,.800,14,24,38,31,9,8,16,24
5,5,2024-11-01,,BOS,L,109,124,,42,91,.462,19,48,.396,23,43,.535,.566,6,12,.500,12,30,42,20,5,5,16,26
6,6,2024-11-02,,BOS,L,103,113,,40,91,.440,17,42,.405,23,49,.469,.533,6,9,.667,7,27,34,24,10,1,13,25
7,7,2024-11-04,@,MIN,L,93,114,,35,88,.398,10,42,.238,25,46,.543,.455,13,16,.813,9,29,38,19,10,1,14,22
8,8,2024-11-06,,DET,W,108,107,,39,90,.433,14,44,.318,25,46,.543,.511,16,16,1.000,8,39,47,22,5,4,12,16
9,9,2024-11-08,,IND,W,103,83,,38,90,.422,17,50,.340,21,40,.525,.517,10,12,.833,13,43,56,23,6,7,15,16
10,10,2024-11-10,@,PHI,L,105,107,OT,36,95,.379,14,54,.259,22,41,.537,.453,19,22,.864,12,38,50,22,10,5,21,22
11,11,2024-11-12,@,ORL,L,89,114,,34,84,.405,13,38,.342,21,46,.457,.482,8,14,.571,8,40,48,22,7,3,22,18
12,12,2024-11-16,,MIL,W,115,114,,41,93,.441,15,42,.357,26,51,.510,.522,18,21,.857,16,37,53,25,7,4,10,16
13,13,2024-11-17,@,CLE,L,114,128,,42,103,.408,20,52,.385,22,51,.431,.505,10,12,.833,17,23,40,34,12,6,10,23
14,14,2024-11-19,@,BRK,L,115,116,,38,82,.463,20,37,.541,18,45,.400,.585,19,22,.864,13,31,44,25,6,8,23,20
15,15,2024-11-21,,DET,W,123,121,OT,44,93,.473,20,44,.455,24,49,.490,.581,15,21,.714,11,32,43,23,12,5,16,22
16,16,2024-11-23,@,MIL,L,119,125,,41,100,.410,19,47,.404,22,53,.415,.505,18,21,.857,14,34,48,22,6,5,10,21
17,17,2024-11-25,,ORL,L,84,95,,31,75,.413,7,32,.219,24,43,.558,.460,15,19,.789,13,39,52,14,6,5,27,20
18,18,2024-11-27,,MIA,L,94,98,,37,98,.378,17,51,.333,20,47,.426,.464,3,8,.375,16,27,43,22,10,5,13,19
19,19,2024-11-29,,NYK,L,98,99,,36,89,.404,15,47,.319,21,42,.500,.489,11,15,.733,14,25,39,25,8,6,15,19
20,20,2024-11-30,,ATL,L,104,107,,35,94,.372,18,48,.375,17,46,.370,.468,16,19,.842,18,27,45,23,13,6,15,23
21,21,2024-12-03,,PHI,L,104,110,,34,77,.442,13,34,.382,21,43,.488,.526,23,28,.821,15,32,47,22,5,3,19,17
22,22,2024-12-05,@,NYK,L,101,125,,40,89,.449,15,39,.385,25,50,.500,.534,6,10,.600,10,30,40,27,3,4,11,22
23,23,2024-12-07,,CLE,L,102,116,,37,86,.430,11,39,.282,26,47,.553,.494,17,19,.895,10,27,37,21,6,5,11,27
24,24,2024-12-08,@,IND,W,113,109,,40,78,.513,14,29,.483,26,49,.531,.603,19,26,.731,10,35,45,24,11,3,25,18
25,25,2024-12-13,@,CHI,L,95,109,,35,98,.357,8,46,.174,27,52,.519,.398,17,21,.810,17,37,54,22,7,5,17,20
26,26,2024-12-16,,PHI,L,108,121,,42,83,.506,12,38,.316,30,45,.667,.578,12,21,.571,9,29,38,30,12,8,20,27
27,27,2024-12-19,@,WAS,L,114,123,,43,106,.406,8,43,.186,35,63,.556,.443,20,27,.741,22,30,52,30,12,2,8,21
28,28,2024-12-20,@,PHI,L,98,108,,36,78,.462,10,31,.323,26,47,.553,.526,16,21,.762,13,31,44,22,7,4,17,19
29,29,2024-12-23,,HOU,L,101,114,,37,89,.416,10,36,.278,27,53,.509,.472,17,24,.708,11,33,44,25,8,6,11,15
30,30,2024-12-26,@,WAS,L,110,113,,41,94,.436,17,42,.405,24,52,.462,.527,11,14,.786,11,39,50,31,6,4,19,23
31,31,2024-12-28,,OKC,L,94,106,,29,80,.363,11,34,.324,18,46,.391,.431,25,28,.893,8,36,44,17,9,5,18,16
32,32,2024-12-30,,CHI,L,108,115,OT,42,101,.416,10,43,.233,32,58,.552,.465,14,20,.700,9,47,56,23,8,6,14,20
33,33,2025-01-03,@,DET,L,94,98,,33,80,.413,9,30,.300,24,50,.480,.469,19,30,.633,9,36,45,25,8,6,18,10
34,34,2025-01-05,@,CLE,L,105,115,,38,91,.418,15,42,.357,23,49,.469,.500,14,19,.737,13,35,48,19,9,4,16,18
35,35,2025-01-07,,PHO,W,115,104,,38,98,.388,13,47,.277,25,51,.490,.454,26,29,.897,20,39,59,23,9,5,14,19
36,36,2025-01-12,@,PHO,L,113,120,,41,92,.446,15,40,.375,26,52,.500,.527,16,20,.800,15,37,52,30,10,2,16,20
37,37,2025-01-15,@,UTA,W,117,112,,45,85,.529,12,39,.308,33,46,.717,.600,15,21,.714,11,34,45,27,6,6,18,16
38,38,2025-01-17,@,CHI,W,125,123,,48,96,.500,13,34,.382,35,62,.565,.568,16,20,.800,13,31,44,26,9,2,12,13
39,39,2025-01-20,,DAL,W,110,105,,40,98,.408,17,39,.436,23,59,.390,.495,13,18,.722,17,32,49,28,10,7,13,16
