Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,@,TOR,W,136,106,,51,87,.586,14,30,.467,37,57,.649,.667,20,26,.769,8,28,36,29,10,9,13,22
2,2,2024-10-25,,DET,W,113,101,,42,82,.512,13,34,.382,29,48,.604,.591,16,23,.696,5,34,39,28,13,4,13,15
3,3,2024-10-26,@,WAS,W,135,116,,47,88,.534,18,39,.462,29,49,.592,.636,23,34,.676,11,37,48,27,13,10,17,27
4,4,2024-10-28,@,NYK,W,110,104,,39,82,.476,12,36,.333,27,46,.587,.549,20,24,.833,9,32,41,21,10,5,14,20
5,5,2024-10-30,,LAL,W,134,110,,56,97,.577,17,41,.415,39,56,.696,.665,5,8,.625,6,30,36,37,14,2,12,26
6,6,2024-11-01,,ORL,W,120,109,,44,87,.506,15,38,.395,29,49,.592,.592,17,20,.850,7,42,49,25,6,4,13,21
7,7,2024-11-02,@,MIL,W,114,113,,44,91,.484,15,38,.395,29,53,.547,.566,11,15,.733,10,35,45,31,3,2,7,20
8,8,2024-11-04,,MIL,W,116,114,,46,91,.505,17,37,.459,29,54,.537,.599,7,13,.538,5,34,39,28,10,4,10,15
9,9,2024-11-06,@,NOP,W,131,122,,52,96,.542,17,35,.486,35,61,.574,.630,10,13,.769,12,34,46,33,6,10,13,21
10,10,2024-11-08,,GSW,W,136,117,,46,85,.541,20,42,.476,26,43,.605,.659,24,28,.857,9,34,43,33,7,7,20,12
11,11,2024-11-09,,BRK,W,105,100,,40,74,.541,10,28,.357,30,46,.652,.608,15,19,.789,4,29,33,24,12,5,16,18
12,12,2024-11-11,@,CHI,W,119,113,,43,97,.443,15,45,.333,28,52,.538,.521,18,24,.750,12,31,43,26,14,3,9,13
13,13,2024-11-13,@,PHI,W,114,106,,42,85,.494,16,40,.400,26,45,.578,.588,14,17,.824,9,37,46,25,8,1,11,14
14,14,2024-11-15,,CHI,W,144,126,,51,93,.548,21,43,.488,30,50,.600,.661,21,24,.875,4,36,40,33,11,6,13,16
15,15,2024-11-17,,CHO,W,128,114,,44,77,.571,13,30,.433,31,47,.660,.656,27,28,.964,9,39,48,26,3,4,20,15
16,16,2024-11-19,@,BOS,L,117,120,,46,93,.495,10,29,.345,36,64,.563,.548,15,17,.882,12,29,41,30,4,3,7,15
17,17,2024-11-20,,NOP,W,128,100,,49,93,.527,18,42,.429,31,51,.608,.624,12,14,.857,16,36,52,29,10,9,14,16
18,18,2024-11-24,,TOR,W,122,108,,48,97,.495,16,41,.390,32,56,.571,.577,10,14,.714,14,35,49,27,11,4,14,21
19,19,2024-11-27,,ATL,L,124,135,,44,95,.463,15,48,.313,29,47,.617,.542,21,28,.750,12,32,44,31,11,5,13,21
20,20,2024-11-29,@,ATL,L,101,117,,38,93,.409,11,38,.289,27,55,.491,.468,14,17,.824,11,29,40,21,9,0,13,22
21,21,2024-12-01,,BOS,W,115,111,,39,80,.488,17,36,.472,22,44,.500,.594,20,25,.800,6,38,44,22,5,7,18,20
22,22,2024-12-03,,WAS,W,118,87,,43,89,.483,16,46,.348,27,43,.628,.573,16,25,.640,7,38,45,31,11,4,11,20
23,23,2024-12-05,,DEN,W,126,114,,47,94,.500,22,48,.458,25,46,.543,.617,10,16,.625,9,38,47,32,9,3,17,17
24,24,2024-12-07,@,CHO,W,116,102,,42,84,.500,14,38,.368,28,46,.609,.583,18,24,.750,14,33,47,28,6,6,12,20
25,25,2024-12-08,@,MIA,L,113,122,,41,86,.477,14,33,.424,27,53,.509,.558,17,18,.944,5,31,36,25,5,1,9,18
26,26,2024-12-13,,WAS,W,115,105,,36,91,.396,15,50,.300,21,41,.512,.478,28,40,.700,16,34,50,27,10,5,11,14
27,27,2024-12-16,@,BRK,W,130,101,,43,81,.531,19,47,.404,24,34,.706,.648,25,29,.862,12,30,42,33,14,6,17,19
28,28,2024-12-20,,MIL,W,124,101,,46,91,.505,20,47,.426,26,44,.591,.615,12,14,.857,9,39,48,30,11,0,18,10
29,29,2024-12-21,,PHI,W,126,99,,48,90,.533,22,43,.512,26,47,.553,.656,8,15,.533,13,36,49,31,8,1,13,18
30,30,2024-12-23,,UTA,W,124,113,,43,91,.473,20,46,.435,23,45,.511,.582,18,23,.783,10,30,40,33,10,3,9,23
