Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-24,,SAS,W,120,109,,42,102,.412,19,44,.432,23,58,.397,.505,17,23,.739,17,33,50,27,9,5,10,21
2,2,2024-10-26,@,PHO,L,102,114,,37,93,.398,13,41,.317,24,52,.462,.468,15,18,.833,12,34,46,22,6,2,9,28
3,3,2024-10-28,,UTA,W,110,102,,43,95,.453,11,39,.282,32,56,.571,.511,13,17,.765,13,37,50,27,9,12,14,23
4,4,2024-10-29,@,MIN,W,120,114,,45,93,.484,16,39,.410,29,54,.537,.570,14,18,.778,12,28,40,25,12,2,10,21
5,5,2024-10-31,,HOU,L,102,108,,39,85,.459,10,30,.333,29,55,.527,.518,14,20,.700,10,27,37,21,6,7,10,27
6,6,2024-11-03,,ORL,W,108,85,,42,85,.494,10,32,.313,32,53,.604,.553,14,23,.609,12,41,53,25,8,5,19,22
7,7,2024-11-04,,IND,L,127,134,,46,89,.517,15,36,.417,31,53,.585,.601,20,25,.800,5,33,38,29,4,3,9,18
8,8,2024-11-06,,CHI,W,119,99,,45,93,.484,12,38,.316,33,55,.600,.548,17,21,.810,9,38,47,33,11,4,15,19
9,9,2024-11-08,,PHO,L,113,114,,41,80,.513,11,33,.333,30,47,.638,.581,20,22,.909,8,31,39,18,5,1,11,22
10,10,2024-11-10,@,DEN,L,120,122,,48,90,.533,10,33,.303,38,57,.667,.589,14,19,.737,10,32,42,29,7,5,10,17
11,11,2024-11-12,@,GSW,L,117,120,,44,84,.524,11,34,.324,33,50,.660,.589,18,24,.750,8,32,40,26,6,1,18,23
12,12,2024-11-14,@,UTA,L,113,115,,43,85,.506,12,39,.308,31,46,.674,.576,15,20,.750,11,19,30,25,11,10,17,18
13,13,2024-11-16,,SAS,W,110,93,,44,94,.468,8,31,.258,36,63,.571,.511,14,18,.778,13,40,53,26,9,7,15,18
14,14,2024-11-17,@,OKC,W,121,119,,40,84,.476,11,27,.407,29,57,.509,.542,30,36,.833,18,35,53,18,4,5,16,20
15,15,2024-11-19,,NOP,W,132,91,,49,94,.521,14,31,.452,35,63,.556,.596,20,25,.800,14,34,48,26,12,7,12,15
16,16,2024-11-22,@,DEN,W,123,120,,46,91,.505,10,27,.370,36,64,.563,.560,21,27,.778,12,32,44,24,11,5,13,22
17,17,2024-11-24,@,MIA,L,118,123,OT,44,105,.419,10,40,.250,34,65,.523,.467,20,25,.800,15,44,59,29,6,9,14,24
18,18,2024-11-25,@,ATL,W,129,119,,47,94,.500,16,35,.457,31,59,.525,.585,19,22,.864,10,41,51,24,6,8,18,13
19,19,2024-11-27,,NYK,W,129,114,,48,85,.565,17,33,.515,31,52,.596,.665,16,21,.762,10,33,43,27,6,4,13,25
20,20,2024-11-30,@,UTA,W,106,94,,41,90,.456,15,39,.385,26,51,.510,.539,9,15,.600,12,36,48,30,12,6,15,21
21,21,2024-12-01,@,POR,W,137,131,,48,87,.552,18,36,.500,30,51,.588,.655,23,29,.793,8,25,33,33,13,0,13,15
22,22,2024-12-03,,MEM,W,121,116,,39,81,.481,13,32,.406,26,49,.531,.562,30,44,.682,14,35,49,24,8,8,25,23
23,23,2024-12-05,@,WAS,W,137,101,,48,89,.539,20,38,.526,28,51,.549,.652,21,27,.778,13,45,58,27,8,12,16,16
24,24,2024-12-07,@,TOR,W,125,118,,38,81,.469,17,45,.378,21,36,.583,.574,32,37,.865,14,38,52,21,10,8,18,16
25,25,2024-12-10,@,OKC,L,104,118,,38,80,.475,15,36,.417,23,44,.523,.569,13,19,.684,7,37,44,25,10,2,19,12
26,26,2024-12-15,@,GSW,W,143,133,,52,87,.598,21,41,.512,31,46,.674,.718,18,25,.720,10,37,47,36,8,5,16,12
27,27,2024-12-19,,LAC,L,95,118,,34,86,.395,7,30,.233,27,56,.482,.436,20,28,.714,8,32,40,21,9,5,13,13
28,28,2024-12-21,,LAC,W,113,97,,40,88,.455,14,35,.400,26,53,.491,.534,19,22,.864,11,32,43,25,12,5,13,18
29,29,2024-12-23,,POR,W,132,108,,48,90,.533,12,36,.333,36,54,.667,.600,24,34,.706,13,28,41,27,10,4,11,21
30,30,2024-12-25,,MIN,L,99,105,,36,87,.414,16,43,.372,20,44,.455,.506,11,11,1.000,11,32,43,15,6,8,13,13
31,31,2024-12-27,@,PHO,W,98,89,,35,80,.438,12,34,.353,23,46,.500,.513,16,17,.941,7,34,41,24,6,5,15,15
32,32,2024-12-28,@,POR,L,122,126,,43,89,.483,15,38,.395,28,51,.549,.567,21,26,.808,10,30,40,20,6,10,13,21
33,33,2024-12-30,@,SAC,L,100,110,,32,76,.421,12,31,.387,20,45,.444,.500,24,29,.828,2,34,36,17,8,13,18,20
34,34,2025-01-01,@,HOU,L,99,110,,40,75,.533,11,28,.393,29,47,.617,.607,8,16,.500,6,32,38,19,9,12,20,20
35,35,2025-01-03,,CLE,L,122,134,,43,100,.430,12,44,.273,31,56,.554,.490,24,30,.800,21,32,53,29,3,4,12,17
36,36,2025-01-06,@,MEM,L,104,119,,40,98,.408,13,36,.361,27,62,.435,.474,11,15,.733,13,37,50,25,7,8,15,22
