Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,,CHO,L,105,110,,38,103,.369,13,43,.302,25,60,.417,.432,16,20,.800,16,27,43,19,8,4,8,18
2,2,2024-10-25,,MEM,W,128,108,,43,98,.439,17,43,.395,26,55,.473,.526,25,36,.694,23,41,64,20,10,4,19,32
3,3,2024-10-26,@,SAS,L,106,109,,38,92,.413,13,41,.317,25,51,.490,.484,17,21,.810,8,26,34,21,10,3,11,24
4,4,2024-10-28,@,SAS,W,106,101,,35,85,.412,15,37,.405,20,48,.417,.500,21,24,.875,13,30,43,20,6,2,12,23
5,5,2024-10-31,@,DAL,W,108,102,,40,97,.412,8,34,.235,32,63,.508,.454,20,27,.741,18,32,50,21,4,4,10,20
6,6,2024-11-02,,GSW,L,121,127,OT,44,107,.411,15,45,.333,29,62,.468,.481,18,24,.750,18,31,49,27,10,6,11,32
7,7,2024-11-04,,NYK,W,109,97,,43,88,.489,8,33,.242,35,55,.636,.534,15,18,.833,11,39,50,21,4,6,11,20
8,8,2024-11-06,,SAS,W,127,100,,54,96,.563,10,27,.370,44,69,.638,.615,9,15,.600,11,34,45,28,10,5,12,13
9,9,2024-11-08,@,OKC,L,107,126,,39,90,.433,11,30,.367,28,60,.467,.494,18,26,.692,14,34,48,19,7,3,17,18
10,10,2024-11-10,@,DET,W,101,99,,38,93,.409,7,34,.206,31,59,.525,.446,18,24,.750,17,36,53,19,10,5,12,21
11,11,2024-11-11,,WAS,W,107,92,,40,87,.460,5,23,.217,35,64,.547,.489,22,25,.880,17,41,58,13,12,10,21,17
12,12,2024-11-13,,LAC,W,111,103,,42,97,.433,15,40,.375,27,57,.474,.510,12,17,.706,18,41,59,28,8,11,14,17
13,13,2024-11-15,,LAC,W,125,104,,46,95,.484,19,44,.432,27,51,.529,.584,14,18,.778,9,39,48,31,11,3,12,25
