Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,@,DET,W,115,109,,42,83,.506,9,31,.290,33,52,.635,.560,22,25,.880,7,32,39,32,10,8,15,23
2,2,2024-10-25,@,NYK,L,98,123,,41,83,.494,3,30,.100,38,53,.717,.512,13,20,.650,9,24,33,28,8,6,16,24
3,3,2024-10-27,,PHI,L,114,118,OT,39,84,.464,13,32,.406,26,52,.500,.542,23,34,.676,7,30,37,28,8,4,20,26
4,4,2024-10-28,@,ORL,L,115,119,,41,88,.466,13,29,.448,28,59,.475,.540,20,30,.667,15,29,44,25,7,4,13,28
5,5,2024-10-30,,BOS,W,135,132,OT,50,104,.481,15,38,.395,35,66,.530,.553,20,24,.833,16,41,57,33,10,5,19,26
6,6,2024-11-01,@,NOP,L,118,125,,46,89,.517,16,38,.421,30,51,.588,.607,10,13,.769,6,33,39,35,3,3,14,21
7,7,2024-11-04,@,DAL,W,134,127,,54,95,.568,13,32,.406,41,63,.651,.637,13,20,.650,7,39,46,30,5,3,10,16
8,8,2024-11-06,,ORL,W,118,111,,41,76,.539,12,26,.462,29,50,.580,.618,24,26,.923,4,32,36,21,7,3,11,24
9,9,2024-11-08,@,CHO,L,83,103,,33,83,.398,9,29,.310,24,54,.444,.452,8,14,.571,7,30,37,24,10,4,14,16
10,10,2024-11-10,,NYK,W,132,121,,45,88,.511,21,46,.457,24,42,.571,.631,21,25,.840,5,27,32,27,6,4,10,22
11,11,2024-11-13,@,ORL,L,90,94,,32,84,.381,10,30,.333,22,54,.407,.440,16,18,.889,7,34,41,22,10,6,17,19
12,12,2024-11-15,,MIA,L,111,124,,44,86,.512,14,35,.400,30,51,.588,.593,9,11,.818,8,31,39,28,8,4,20,15
13,13,2024-11-17,,MIA,W,119,110,,44,85,.518,13,29,.448,31,56,.554,.594,18,20,.900,10,35,45,30,6,6,11,16
