Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,,PHO,L,113,116,OT,42,92,.457,8,29,.276,34,63,.540,.500,21,30,.700,13,38,51,27,9,1,22,29
2,2,2024-10-26,@,DEN,W,109,104,,40,82,.488,12,33,.364,28,49,.571,.561,17,21,.810,11,33,44,30,4,5,17,24
3,3,2024-10-27,@,GSW,W,112,104,,42,90,.467,10,32,.313,32,58,.552,.522,18,23,.783,14,34,48,27,11,2,18,21
4,4,2024-10-30,,POR,L,105,106,,41,90,.456,13,36,.361,28,54,.519,.528,10,18,.556,13,36,49,26,10,5,14,19
5,5,2024-10-31,,PHO,L,119,125,,45,93,.484,12,35,.343,33,58,.569,.548,17,21,.810,15,33,48,27,8,8,14,22
6,6,2024-11-02,,OKC,L,92,105,,32,79,.405,11,35,.314,21,44,.477,.475,17,26,.654,10,40,50,23,10,7,22,17
7,7,2024-11-04,,SAS,W,113,104,,41,90,.456,19,37,.514,22,53,.415,.561,12,17,.706,16,28,44,25,6,7,11,21
8,8,2024-11-06,,PHI,W,110,98,,41,72,.569,12,28,.429,29,44,.659,.653,16,19,.842,8,21,29,27,12,1,19,16
9,9,2024-11-08,@,SAC,W,107,98,,36,81,.444,14,30,.467,22,51,.431,.531,21,23,.913,12,36,48,20,7,2,21,21
10,10,2024-11-09,,TOR,W,105,103,,35,76,.461,10,26,.385,25,50,.500,.526,25,32,.781,7,40,47,18,6,8,14,20
11,11,2024-11-11,@,OKC,L,128,134,,44,80,.550,20,37,.541,24,43,.558,.675,20,29,.690,15,32,47,31,5,5,24,22
12,12,2024-11-13,@,HOU,L,103,111,,38,96,.396,14,38,.368,24,58,.414,.469,13,16,.813,10,32,42,27,10,3,12,16
13,13,2024-11-15,@,HOU,L,104,125,,34,90,.378,10,40,.250,24,50,.480,.433,26,33,.788,13,38,51,12,6,6,15,15
14,14,2024-11-17,,UTA,W,116,105,,46,94,.489,11,40,.275,35,54,.648,.548,13,17,.765,14,27,41,30,11,5,9,11
15,15,2024-11-18,,GSW,W,102,99,,35,82,.427,16,34,.471,19,48,.396,.524,16,18,.889,5,39,44,29,10,6,20,13
16,16,2024-11-20,,ORL,W,104,93,,38,77,.494,11,22,.500,27,55,.491,.565,17,21,.810,15,34,49,22,10,1,25,22
17,17,2024-11-22,,SAC,W,104,88,,39,94,.415,10,42,.238,29,52,.558,.468,16,16,1.000,11,43,54,27,13,3,12,24
18,18,2024-11-24,@,PHI,W,125,99,,47,81,.580,12,30,.400,35,51,.686,.654,19,25,.760,10,34,44,31,9,5,17,22
19,19,2024-11-25,@,BOS,L,94,126,,39,90,.433,7,26,.269,32,64,.500,.472,9,13,.692,10,34,44,18,8,3,14,12
20,20,2024-11-27,@,WAS,W,121,96,,45,89,.506,12,33,.364,33,56,.589,.573,19,25,.760,13,34,47,27,18,4,16,19
21,21,2024-11-29,@,MIN,L,92,93,,36,84,.429,10,31,.323,26,53,.491,.488,10,13,.769,8,31,39,20,17,3,15,16
22,22,2024-12-01,,DEN,W,126,122,,43,90,.478,18,39,.462,25,51,.490,.578,22,27,.815,13,29,42,28,8,4,14,16
23,23,2024-12-03,,POR,W,127,105,,47,85,.553,19,37,.514,28,48,.583,.665,14,17,.824,11,24,35,29,8,8,14,14
24,24,2024-12-04,,MIN,L,80,108,,29,83,.349,11,40,.275,18,43,.419,.416,11,13,.846,10,36,46,13,7,2,23,16
25,25,2024-12-08,,HOU,L,106,117,,41,92,.446,11,34,.324,30,58,.517,.505,13,16,.813,7,26,33,21,11,3,8,24
26,26,2024-12-13,@,DEN,L,98,120,,37,83,.446,14,41,.341,23,42,.548,.530,10,18,.556,5,26,31,24,18,2,19,22
27,27,2024-12-16,,UTA,W,144,107,,49,82,.598,21,39,.538,28,43,.651,.726,25,32,.781,7,34,41,28,13,6,16,20
28,28,2024-12-19,@,DAL,W,118,95,,44,85,.518,14,33,.424,30,52,.577,.600,16,17,.941,8,39,47,30,9,3,15,20
29,29,2024-12-21,@,DAL,L,97,113,,34,81,.420,10,37,.270,24,44,.545,.481,19,22,.864,8,32,40,18,8,7,17,14
30,30,2024-12-23,@,MEM,W,114,110,,42,96,.438,9,27,.333,33,69,.478,.484,21,26,.808,15,38,53,22,15,6,17,28
31,31,2024-12-27,,GSW,W,102,92,,40,75,.533,10,32,.313,30,43,.698,.600,12,15,.800,6,33,39,19,6,10,23,19
32,32,2024-12-30,@,NOP,W,116,113,,41,86,.477,13,37,.351,28,49,.571,.552,21,27,.778,14,26,40,24,11,2,17,14
33,33,2024-12-31,@,SAS,L,86,122,,30,87,.345,11,41,.268,19,46,.413,.408,15,18,.833,10,31,41,17,7,3,14,15
34,34,2025-01-02,@,OKC,L,98,116,,38,81,.469,11,32,.344,27,49,.551,.537,11,17,.647,10,35,45,25,6,1,20,18
35,35,2025-01-04,,ATL,W,131,105,,53,96,.552,13,36,.361,40,60,.667,.620,12,17,.706,7,41,48,36,15,3,17,17
36,36,2025-01-06,@,MIN,L,106,108,,37,89,.416,12,35,.343,25,54,.463,.483,20,25,.800,14,35,49,23,9,10,13,19
37,37,2025-01-08,@,DEN,L,103,126,,30,80,.375,11,38,.289,19,42,.452,.444,32,40,.800,9,31,40,14,8,6,12,15
38,38,2025-01-13,,MIA,W,109,98,,45,93,.484,13,36,.361,32,57,.561,.554,6,10,.600,7,41,48,28,11,6,12,15
39,39,2025-01-15,,BRK,W,126,67,,43,79,.544,12,32,.375,31,47,.660,.620,28,30,.933,6,40,46,26,13,3,16,17
40,40,2025-01-16,@,POR,W,118,89,,44,78,.564,10,23,.435,34,55,.618,.628,20,27,.741,8,42,50,23,9,4,18,13
41,41,2025-01-19,,LAL,W,116,102,,47,89,.528,11,30,.367,36,59,.610,.590,11,14,.786,11,27,38,27,12,4,13,12
