Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-22,,MIN,W,110,103,,42,95,.442,5,30,.167,37,65,.569,.468,21,25,.840,15,31,46,22,7,8,7,22
2,2,2024-10-25,,PHO,W,123,116,,40,75,.533,14,27,.519,26,48,.542,.627,29,39,.744,6,31,37,33,10,5,13,18
3,3,2024-10-26,,SAC,W,131,127,,48,92,.522,14,34,.412,34,58,.586,.598,21,24,.875,13,32,45,32,8,3,19,19
4,4,2024-10-28,@,PHO,L,105,109,,39,94,.415,14,32,.438,25,62,.403,.489,13,18,.722,11,35,46,25,5,6,12,19
5,5,2024-10-30,@,CLE,L,110,134,,38,77,.494,6,28,.214,32,49,.653,.532,28,33,.848,5,32,37,21,6,0,21,7
6,6,2024-11-01,@,TOR,W,131,125,,42,88,.477,11,32,.344,31,56,.554,.540,36,41,.878,9,34,43,29,6,5,10,17
7,7,2024-11-04,@,DET,L,103,115,,37,85,.435,9,25,.360,28,60,.467,.488,20,27,.741,7,30,37,28,8,1,13,16
8,8,2024-11-06,@,MEM,L,114,131,,41,93,.441,15,48,.313,26,45,.578,.522,17,21,.810,9,28,37,23,10,1,11,18
9,9,2024-11-08,,PHI,W,116,106,,44,85,.518,16,35,.457,28,50,.560,.612,12,14,.857,5,40,45,28,1,13,13,17
10,10,2024-11-10,,TOR,W,123,103,,44,86,.512,12,37,.324,32,49,.653,.581,23,28,.821,10,23,33,30,9,4,5,15
11,11,2024-11-13,,MEM,W,128,123,,43,85,.506,20,41,.488,23,44,.523,.624,22,32,.688,7,35,42,31,7,5,18,22
12,12,2024-11-15,@,SAS,W,120,115,,44,88,.500,14,31,.452,30,57,.526,.580,18,23,.783,10,31,41,27,10,3,12,11
13,13,2024-11-16,@,NOP,W,104,99,,39,89,.438,12,40,.300,27,49,.551,.506,14,18,.778,17,26,43,24,10,3,11,14
14,14,2024-11-19,,UTA,W,124,118,,42,76,.553,14,31,.452,28,45,.622,.645,26,36,.722,6,28,34,30,9,5,14,16
15,15,2024-11-21,,ORL,L,118,119,,44,87,.506,13,31,.419,31,56,.554,.580,17,26,.654,9,27,36,21,4,6,10,15
16,16,2024-11-23,,DEN,L,102,127,,39,88,.443,13,36,.361,26,52,.500,.517,11,14,.786,6,26,32,27,11,3,15,16
17,17,2024-11-26,@,PHO,L,100,127,,37,85,.435,8,34,.235,29,51,.569,.482,18,25,.720,7,35,42,25,7,6,12,11
18,18,2024-11-27,@,SAS,W,119,101,,48,90,.533,13,34,.382,35,56,.625,.606,10,10,1.000,11,35,46,31,8,3,13,15
19,19,2024-11-29,,OKC,L,93,101,,33,73,.452,11,38,.289,22,35,.629,.527,16,21,.762,8,39,47,25,4,6,17,18
20,20,2024-12-01,@,UTA,W,105,104,,39,88,.443,7,33,.212,32,55,.582,.483,20,25,.800,10,32,42,23,7,4,5,18
21,21,2024-12-02,@,MIN,L,80,109,,32,79,.405,6,31,.194,26,48,.542,.443,10,14,.714,9,30,39,19,8,2,21,16
22,22,2024-12-04,@,MIA,L,93,134,,37,88,.420,5,22,.227,32,66,.485,.449,14,19,.737,12,24,36,29,9,4,13,8
23,23,2024-12-06,@,ATL,L,132,134,OT,51,99,.515,16,35,.457,35,64,.547,.596,14,16,.875,6,34,40,33,11,10,15,24
24,24,2024-12-08,,POR,W,107,98,,38,83,.458,13,34,.382,25,49,.510,.536,18,21,.857,8,32,40,25,14,7,11,20
25,25,2024-12-13,@,MIN,L,87,97,,33,86,.384,10,35,.286,23,51,.451,.442,11,17,.647,15,38,53,17,7,6,22,21
26,26,2024-12-15,,MEM,W,116,110,,39,82,.476,10,34,.294,29,48,.604,.537,28,39,.718,10,34,44,23,10,7,23,27
27,27,2024-12-19,@,SAC,W,113,100,,38,94,.404,12,33,.364,26,61,.426,.468,25,30,.833,14,39,53,22,8,10,13,16
28,28,2024-12-21,@,SAC,W,103,99,,40,83,.482,9,35,.257,31,48,.646,.536,14,21,.667,9,39,48,23,10,6,14,14
29,29,2024-12-23,,DET,L,114,117,,40,74,.541,14,30,.467,26,44,.591,.635,20,25,.800,6,32,38,28,8,3,20,10
30,30,2024-12-25,@,GSW,W,115,113,,41,91,.451,15,42,.357,26,49,.531,.533,18,18,1.000,11,30,41,30,6,4,9,14
31,31,2024-12-28,,SAC,W,132,122,,46,77,.597,14,26,.538,32,51,.627,.688,26,33,.788,4,29,33,33,4,3,11,13
32,32,2024-12-31,,CLE,L,110,122,,42,95,.442,9,35,.257,33,60,.550,.489,17,19,.895,8,35,43,26,7,3,9,12
33,33,2025-01-02,,POR,W,114,106,,43,94,.457,15,43,.349,28,51,.549,.537,13,14,.929,15,28,43,30,8,3,13,17
34,34,2025-01-03,,ATL,W,119,102,,43,88,.489,13,30,.433,30,58,.517,.563,20,25,.800,17,39,56,28,4,6,19,21
35,35,2025-01-05,@,HOU,L,115,119,,38,78,.487,16,36,.444,22,42,.524,.590,23,28,.821,10,29,39,26,4,5,10,21
36,36,2025-01-07,@,DAL,L,97,118,,34,75,.453,11,35,.314,23,40,.575,.527,18,24,.750,5,28,33,20,7,6,10,13
37,37,2025-01-13,,SAS,L,102,126,,39,87,.448,14,44,.318,25,43,.581,.529,10,16,.625,15,25,40,24,9,4,19,17
38,38,2025-01-15,,MIA,W,117,108,,47,90,.522,13,34,.382,34,56,.607,.594,10,14,.714,6,28,34,33,12,4,7,12
39,39,2025-01-17,,BRK,W,102,101,,38,82,.463,12,34,.353,26,48,.542,.537,14,18,.778,6,28,34,24,6,7,10,12
40,40,2025-01-19,@,LAC,L,102,116,,38,76,.500,9,27,.333,29,49,.592,.559,17,19,.895,5,28,33,26,6,6,17,14
41,41,2025-01-21,,WAS,W,111,88,,43,90,.478,11,34,.324,32,56,.571,.539,14,18,.778,7,43,50,30,6,10,11,11
42,42,2025-01-23,,BOS,W,117,96,,42,89,.472,15,35,.429,27,54,.500,.556,18,20,.900,10,43,53,27,4,3,10,14
43,43,2025-01-25,@,GSW,W,118,108,,47,86,.547,10,29,.345,37,57,.649,.605,14,17,.824,10,32,42,29,8,2,13,13
44,44,2025-01-27,@,CHO,W,112,107,,44,86,.512,6,28,.214,38,58,.655,.547,18,24,.750,12,36,48,22,9,5,19,18
45,45,2025-01-28,@,PHI,L,104,118,,37,72,.514,10,33,.303,27,39,.692,.583,20,23,.870,4,35,39,25,5,3,22,19
46,46,2025-01-30,@,WAS,W,134,96,,49,90,.544,15,32,.469,34,58,.586,.628,21,22,.955,9,39,48,31,9,6,11,24
47,47,2025-02-01,@,NYK,W,128,112,,47,81,.580,19,40,.475,28,41,.683,.698,15,18,.833,3,34,37,26,9,4,15,22
48,48,2025-02-04,@,LAC,W,122,97,,45,81,.556,18,37,.486,27,44,.614,.667,14,23,.609,10,40,50,33,7,3,15,15
49,49,2025-02-06,,GSW,W,120,112,,39,78,.500,13,35,.371,26,43,.605,.583,29,36,.806,7,40,47,26,9,5,14,21
50,50,2025-02-08,,IND,W,124,117,,46,88,.523,11,33,.333,35,55,.636,.585,21,23,.913,9,37,46,29,6,3,15,22
51,51,2025-02-10,,UTA,W,132,113,,50,92,.543,15,42,.357,35,50,.700,.625,17,18,.944,10,34,44,28,11,2,13,22
52,52,2025-02-12,@,UTA,L,119,131,,41,92,.446,20,50,.400,21,42,.500,.554,17,30,.567,14,31,45,31,5,3,14,20
53,53,2025-02-19,,CHO,L,97,100,,37,90,.411,15,51,.294,22,39,.564,.494,8,12,.667,12,38,50,29,7,4,18,17
54,54,2025-02-20,@,POR,W,110,102,,39,82,.476,9,32,.281,30,50,.600,.530,23,25,.920,11,37,48,20,7,6,24,17
55,55,2025-02-22,@,DEN,W,123,100,,43,86,.500,16,41,.390,27,45,.600,.593,21,25,.840,9,30,39,27,15,9,9,20
56,56,2025-02-25,,DAL,W,107,99,,39,87,.448,11,40,.275,28,47,.596,.511,18,24,.750,13,44,57,24,7,8,14,13
57,57,2025-02-27,,MIN,W,111,102,,34,82,.415,11,41,.268,23,41,.561,.482,32,46,.696,16,36,52,21,7,2,13,18
58,58,2025-02-28,,LAC,W,106,102,,39,80,.488,11,33,.333,28,47,.596,.556,17,22,.773,10,29,39,19,14,5,15,14
59,59,2025-03-02,,LAC,W,108,102,,38,77,.494,18,42,.429,20,35,.571,.610,14,20,.700,11,30,41,21,8,6,17,16
60,60,2025-03-04,,NOP,W,136,115,,48,90,.533,19,52,.365,29,38,.763,.639,21,27,.778,17,34,51,32,7,5,15,12
61,61,2025-03-06,,NYK,W,113,109,OT,38,89,.427,14,42,.333,24,47,.511,.506,23,28,.821,12,37,49,25,7,4,17,28
62,62,2025-03-08,@,BOS,L,101,111,,39,87,.448,14,40,.350,25,47,.532,.529,9,14,.643,9,36,45,18,6,1,14,17
63,63,2025-03-10,@,BRK,L,108,111,,37,85,.435,19,40,.475,18,45,.400,.547,15,19,.789,8,35,43,31,4,4,15,20
64,64,2025-03-13,@,MIL,L,106,126,,38,87,.437,15,40,.375,23,47,.489,.523,15,18,.833,5,33,38,18,3,4,14,23
65,65,2025-03-14,@,DEN,L,126,131,,49,105,.467,15,40,.375,34,65,.523,.538,13,16,.813,19,28,47,32,10,2,9,25
66,66,2025-03-16,,PHO,W,107,96,,35,81,.432,14,39,.359,21,42,.500,.519,23,32,.719,7,33,40,22,7,5,10,20
67,67,2025-03-17,,SAS,W,125,109,,44,90,.489,19,48,.396,25,42,.595,.594,18,24,.750,8,34,42,34,13,4,9,10
68,68,2025-03-19,,DEN,W,120,108,,42,83,.506,16,38,.421,26,45,.578,.602,20,28,.714,8,30,38,25,13,3,14,17
69,69,2025-03-20,,MIL,L,89,118,,34,82,.415,11,32,.344,23,50,.460,.482,10,16,.625,14,36,50,26,5,4,22,25
70,70,2025-03-22,,CHI,L,115,146,,41,85,.482,17,41,.415,24,44,.545,.582,16,22,.727,9,26,35,23,8,1,21,16
71,71,2025-03-24,@,ORL,L,106,118,,37,80,.463,10,32,.313,27,48,.563,.525,22,28,.786,11,28,39,19,7,1,11,20
72,72,2025-03-26,@,IND,W,120,119,,41,79,.519,17,38,.447,24,41,.585,.627,21,24,.875,8,35,43,26,5,3,15,22
73,73,2025-03-27,@,CHI,L,117,119,,45,91,.495,12,41,.293,33,50,.660,.560,15,18,.833,6,34,40,30,8,7,11,19
74,74,2025-03-29,@,MEM,W,134,127,,45,89,.506,19,43,.442,26,46,.565,.612,25,27,.926,8,34,42,30,7,3,13,21
75,75,2025-03-31,,HOU,W,104,98,,35,89,.393,16,46,.348,19,43,.442,.483,18,20,.900,10,35,45,22,11,6,11,15
76,76,2025-04-03,,GSW,L,116,123,,39,86,.453,18,47,.383,21,39,.538,.558,20,23,.870,14,25,39,23,5,3,10,23
77,77,2025-04-04,,NOP,W,124,108,,41,79,.519,16,41,.390,25,38,.658,.620,26,28,.929,8,28,36,26,7,2,13,18
78,78,2025-04-06,@,OKC,W,126,99,,46,84,.548,22,40,.550,24,44,.545,.679,12,17,.706,8,35,43,25,6,2,17,15
79,79,2025-04-08,@,OKC,L,120,136,,37,80,.463,18,40,.450,19,40,.475,.575,28,37,.757,12,33,45,21,2,6,19,15
80,80,2025-04-09,@,DAL,W,112,97,,42,90,.467,12,36,.333,30,54,.556,.533,16,21,.762,15,24,39,22,14,0,12,16
81,81,2025-04-11,,HOU,W,140,109,,53,87,.609,19,37,.514,34,50,.680,.718,15,25,.600,4,38,42,28,11,1,13,15
82,82,2025-04-13,@,POR,L,81,109,,31,80,.388,9,28,.321,22,52,.423,.444,10,14,.714,13,29,42,21,9,11,21,21
,,,,,50-32,9298,9198,,3356,7007,.479,1092,2981,.366,2264,4026,.562,.557,1494,1902,.785,792,2687,3479,2131,633,367,1145,1415


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool&__hstc=180814520.e26d614bdbd8cfa12849079b47e91770.1763092167763.1763698976233.1764551499032.8&__hssc=180814520.24.1764551499032&__hsfp=2985364436">Basketball-Reference.com</a>: <a href="https://www.basketball-reference.com/teams/LAL/2025/gamelog/?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#team_game_log_reg">View Original Table</a><br>Generated 11/30/2025.
