Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,@,UTA,W,126,124,,43,91,.473,17,45,.378,26,46,.565,.566,23,32,.719,13,28,41,28,7,5,13,35
2,2,2024-10-25,@,HOU,L,108,128,,38,91,.418,10,28,.357,28,63,.444,.473,22,36,.611,14,29,43,24,8,8,19,25
3,3,2024-10-26,,ORL,W,124,111,,46,86,.535,13,34,.382,33,52,.635,.610,19,24,.792,6,36,42,38,10,5,18,24
4,4,2024-10-28,,CHI,L,123,126,,51,111,.459,14,43,.326,37,68,.544,.523,7,13,.538,18,42,60,37,5,9,10,21
5,5,2024-10-30,,BRK,L,106,119,,38,81,.469,8,27,.296,30,54,.556,.519,22,29,.759,12,26,38,27,9,3,22,21
6,6,2024-10-31,,MIL,W,122,99,,43,82,.524,8,28,.286,35,54,.648,.573,28,31,.903,7,49,56,26,6,3,17,21
7,7,2024-11-02,@,PHI,W,124,107,,48,87,.552,12,27,.444,36,60,.600,.621,16,21,.762,11,41,52,35,9,6,17,22
8,8,2024-11-04,@,BRK,L,104,106,,43,91,.473,8,30,.267,35,61,.574,.516,10,13,.769,13,31,44,29,5,8,15,16
9,9,2024-11-06,,LAL,W,131,114,,48,93,.516,17,34,.500,31,59,.525,.608,18,23,.783,12,38,50,28,5,6,18,17
10,10,2024-11-08,,WAS,W,128,104,,46,97,.474,14,43,.326,32,54,.593,.546,22,25,.880,13,37,50,30,10,10,19,19
11,11,2024-11-10,@,POR,W,134,89,,47,85,.553,16,43,.372,31,42,.738,.647,24,28,.857,10,41,51,32,15,13,23,17
12,12,2024-11-13,@,LAL,L,123,128,,42,89,.472,12,33,.364,30,56,.536,.539,27,33,.818,12,29,41,28,11,6,14,25
13,13,2024-11-15,@,GSW,L,118,123,,42,103,.408,7,42,.167,35,61,.574,.442,27,33,.818,18,36,54,22,8,11,15,21
14,14,2024-11-17,,DEN,W,105,90,,41,91,.451,13,39,.333,28,52,.538,.522,10,12,.833,10,35,45,31,10,10,13,15
15,15,2024-11-19,,DEN,L,110,122,,41,103,.398,9,38,.237,32,65,.492,.442,19,31,.613,19,36,55,24,9,10,22,24
16,16,2024-11-20,,PHI,W,117,111,,41,85,.482,19,43,.442,22,42,.524,.594,16,16,1.000,9,32,41,29,5,6,20,17
17,17,2024-11-23,@,CHI,W,142,131,,55,96,.573,19,42,.452,36,54,.667,.672,13,20,.650,13,36,49,38,5,4,14,18
18,18,2024-11-25,,POR,W,123,98,,43,87,.494,12,28,.429,31,59,.525,.563,25,34,.735,16,44,60,35,7,13,19,20
19,19,2024-11-27,,DET,W,131,111,,51,93,.548,17,46,.370,34,47,.723,.640,12,16,.750,10,32,42,31,13,4,17,21
20,20,2024-11-29,,NOP,W,120,109,,47,96,.490,12,41,.293,35,55,.636,.552,14,17,.824,14,37,51,36,9,5,16,22
21,21,2024-12-01,,IND,W,136,121,,49,93,.527,16,46,.348,33,47,.702,.613,22,27,.815,8,32,40,36,9,6,10,22
22,22,2024-12-03,@,DAL,L,116,121,,45,97,.464,13,40,.325,32,57,.561,.531,13,14,.929,13,26,39,27,15,3,19,29
23,23,2024-12-05,,SAC,W,115,110,,38,80,.475,13,38,.342,25,42,.595,.556,26,32,.813,9,40,49,27,9,5,22,21
24,24,2024-12-07,@,BOS,W,127,121,,47,94,.500,15,33,.455,32,61,.525,.580,18,23,.783,11,41,52,25,13,7,13,25
25,25,2024-12-08,@,WAS,W,140,112,,50,96,.521,17,43,.395,33,53,.623,.609,23,29,.793,12,34,46,34,12,8,18,20
26,26,2024-12-13,,BRK,W,135,119,,52,99,.525,17,36,.472,35,63,.556,.611,14,21,.667,12,37,49,33,9,4,13,19
27,27,2024-12-15,@,LAL,L,110,116,,38,97,.392,9,28,.321,29,69,.420,.438,25,30,.833,17,33,50,25,10,3,21,31
28,28,2024-12-19,,GSW,W,144,93,,53,98,.541,27,48,.563,26,50,.520,.679,11,15,.733,15,45,60,38,11,8,17,19
29,29,2024-12-21,@,ATL,W,128,112,,50,97,.515,18,41,.439,32,56,.571,.608,10,13,.769,8,32,40,35,13,1,18,22
30,30,2024-12-23,,LAC,L,110,114,,38,99,.384,16,42,.381,22,57,.386,.465,18,26,.692,19,37,56,26,8,6,20,18
31,31,2024-12-26,,TOR,W,155,126,,58,109,.532,18,45,.400,40,64,.625,.615,21,29,.724,24,39,63,36,8,8,18,18
32,32,2024-12-27,@,NOP,W,132,124,,42,89,.472,17,41,.415,25,48,.521,.567,31,35,.886,9,33,42,30,12,7,17,19
33,33,2024-12-29,@,OKC,L,106,130,,37,97,.381,14,51,.275,23,46,.500,.454,18,21,.857,16,35,51,30,6,4,21,15
34,34,2024-12-31,@,PHO,W,117,112,,40,94,.426,15,44,.341,25,50,.500,.505,22,33,.667,16,35,51,27,10,6,17,29
35,35,2025-01-03,@,SAC,L,133,138,,43,89,.483,17,37,.459,26,52,.500,.579,30,36,.833,14,37,51,31,5,4,17,20
36,36,2025-01-04,@,GSW,L,113,121,,46,88,.523,9,27,.333,37,61,.607,.574,12,16,.750,12,31,43,29,9,7,23,18
37,37,2025-01-06,,DAL,W,119,104,,40,88,.455,12,35,.343,28,53,.528,.523,27,35,.771,13,42,55,24,11,5,15,17
38,38,2025-01-09,,HOU,L,115,119,,42,84,.500,10,32,.313,32,52,.615,.560,21,30,.700,10,33,43,20,9,8,20,28
39,39,2025-01-11,@,MIN,W,127,125,,48,108,.444,16,41,.390,32,67,.478,.519,15,19,.789,21,25,46,25,13,3,13,20
40,40,2025-01-13,@,HOU,L,118,120,,45,84,.536,14,32,.438,31,52,.596,.619,14,21,.667,8,23,31,15,17,2,18,25
41,41,2025-01-15,@,SAS,W,129,115,,51,103,.495,16,38,.421,35,65,.538,.573,11,17,.647,14,38,52,28,7,5,8,19
42,42,2025-01-17,@,SAS,W,140,112,,55,97,.567,19,44,.432,36,53,.679,.665,11,15,.733,10,31,41,39,9,0,9,19
43,43,2025-01-20,,MIN,W,108,106,,37,86,.430,7,33,.212,30,53,.566,.471,27,34,.794,13,34,47,19,9,4,13,22
44,44,2025-01-22,,CHO,W,132,120,,49,98,.500,21,47,.447,28,51,.549,.607,13,14,.929,13,27,40,36,9,6,16,30
