Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-22,@,LAL,L,103,110,,35,85,.412,13,41,.317,22,44,.500,.488,20,27,.741,12,35,47,17,4,1,16,22
2,2,2024-10-24,@,SAC,W,117,115,,41,86,.477,20,50,.400,21,36,.583,.593,15,17,.882,6,36,42,24,3,2,17,24
3,3,2024-10-26,,TOR,W,112,101,,39,83,.470,14,37,.378,25,46,.543,.554,20,26,.769,9,32,41,29,9,8,13,16
4,4,2024-10-29,,DAL,L,114,120,,39,77,.506,19,39,.487,20,38,.526,.630,17,26,.654,11,31,42,33,5,2,20,20
5,5,2024-11-01,,DEN,W,119,116,,43,83,.518,18,42,.429,25,41,.610,.627,15,18,.833,8,30,38,34,8,9,17,22
6,6,2024-11-02,@,SAS,L,103,113,,39,82,.476,11,37,.297,28,45,.622,.543,14,20,.700,6,26,32,21,7,2,13,16
7,7,2024-11-04,,CHO,W,114,93,,39,79,.494,18,38,.474,21,41,.512,.608,18,26,.692,9,36,45,23,7,8,15,19
8,8,2024-11-07,@,CHI,W,135,119,,51,93,.548,16,38,.421,35,55,.636,.634,17,17,1.000,10,30,40,29,7,4,14,17
9,9,2024-11-08,,POR,W,127,102,,47,97,.485,22,50,.440,25,47,.532,.598,11,14,.786,10,39,49,32,9,7,20,21
10,10,2024-11-10,,MIA,L,94,95,,35,88,.398,13,45,.289,22,43,.512,.472,11,13,.846,16,31,47,22,13,5,20,20
11,11,2024-11-12,@,POR,L,108,122,,37,73,.507,13,35,.371,24,38,.632,.596,21,23,.913,4,28,32,22,13,4,23,22
12,12,2024-11-13,@,POR,L,98,106,,37,94,.394,7,39,.179,30,55,.545,.431,17,22,.773,13,28,41,16,12,3,14,19
13,13,2024-11-15,@,SAC,W,130,126,OT,48,101,.475,20,49,.408,28,52,.538,.574,14,16,.875,10,31,41,26,9,4,11,19
14,14,2024-11-17,,PHO,W,120,117,,42,80,.525,17,39,.436,25,41,.610,.631,19,26,.731,9,23,32,27,8,6,14,13
15,15,2024-11-21,@,TOR,L,105,110,,33,80,.413,12,35,.343,21,45,.467,.488,27,33,.818,10,30,40,16,12,5,17,24
16,16,2024-11-24,@,BOS,L,105,107,,37,88,.420,15,41,.366,22,47,.468,.506,16,21,.762,11,38,49,19,2,1,8,18
17,17,2024-11-26,,HOU,L,111,117,OT,42,98,.429,9,38,.237,33,60,.550,.474,18,20,.900,14,38,52,21,6,4,17,18
