Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,,CHI,W,123,111,,45,97,.464,14,37,.378,31,60,.517,.536,19,21,.905,7,35,42,29,15,10,12,17
2,2,2024-10-25,@,POR,W,105,103,,36,86,.419,12,32,.375,24,54,.444,.488,21,31,.677,11,33,44,25,12,8,14,22
3,3,2024-10-27,@,POR,L,103,125,,38,88,.432,8,29,.276,30,59,.508,.477,19,24,.792,15,24,39,24,9,8,17,22
4,4,2024-10-29,@,GSW,L,106,124,,40,74,.541,9,22,.409,31,52,.596,.601,17,24,.708,9,35,44,23,4,6,24,13
5,5,2024-10-30,@,GSW,L,89,104,,33,90,.367,11,36,.306,22,54,.407,.428,12,20,.600,18,31,49,24,7,6,15,17
6,6,2024-11-01,,IND,W,125,118,,49,101,.485,12,31,.387,37,70,.529,.545,15,19,.789,15,31,46,28,8,4,8,15
7,7,2024-11-03,,ATL,L,111,126,,39,90,.433,16,38,.421,23,52,.442,.522,17,20,.850,18,25,43,22,6,3,18,16
8,8,2024-11-04,,POR,L,100,118,,38,84,.452,10,35,.286,28,49,.571,.512,14,16,.875,10,24,34,24,5,3,16,20
9,9,2024-11-06,,CLE,L,122,131,,42,88,.477,13,27,.481,29,61,.475,.551,25,28,.893,8,25,33,21,8,8,10,14
10,10,2024-11-08,@,ORL,L,88,115,,32,84,.381,10,31,.323,22,53,.415,.440,14,17,.824,6,25,31,18,10,1,16,19
11,11,2024-11-11,,BRK,L,105,107,,42,94,.447,10,30,.333,32,64,.500,.500,11,12,.917,14,31,45,31,13,4,11,15
12,12,2024-11-13,@,OKC,L,88,106,,34,86,.395,9,37,.243,25,49,.510,.448,11,17,.647,21,37,58,21,3,4,24,15
13,13,2024-11-15,,DEN,W,101,94,,37,87,.425,11,35,.314,26,52,.500,.489,16,18,.889,17,39,56,21,4,5,15,13
14,14,2024-11-16,,LAL,L,99,104,,35,83,.422,11,29,.379,24,54,.444,.488,18,23,.783,18,32,50,24,7,4,17,19
15,15,2024-11-19,@,DAL,L,91,132,,31,78,.397,11,32,.344,20,46,.435,.468,18,21,.857,7,30,37,19,9,4,21,22
16,16,2024-11-20,@,CLE,L,100,128,,39,92,.424,8,31,.258,31,61,.508,.467,14,22,.636,16,24,40,23,9,3,11,11
17,17,2024-11-22,,GSW,L,108,112,,41,92,.446,12,39,.308,29,53,.547,.511,14,22,.636,13,30,43,28,10,9,10,25
18,18,2024-11-25,@,IND,L,110,114,,45,87,.517,9,33,.273,36,54,.667,.569,11,19,.579,8,36,44,35,9,3,15,16
19,19,2024-11-27,,TOR,L,93,119,,36,93,.387,11,35,.314,25,58,.431,.446,10,16,.625,10,37,47,24,12,4,17,16
20,20,2024-11-29,@,MEM,L,109,120,,38,91,.418,9,29,.310,29,62,.468,.467,24,30,.800,14,32,46,16,9,7,15,17
21,21,2024-12-01,@,NYK,L,85,118,,35,94,.372,4,27,.148,31,67,.463,.394,11,17,.647,13,29,42,20,14,9,14,19
22,22,2024-12-02,@,ATL,L,112,124,,44,100,.440,13,42,.310,31,58,.534,.505,11,17,.647,15,26,41,21,15,5,16,18
23,23,2024-12-05,,PHO,W,126,124,,47,95,.495,14,36,.389,33,59,.559,.568,18,25,.720,12,32,44,23,13,4,13,24
24,24,2024-12-07,,OKC,L,109,119,,38,79,.481,11,37,.297,27,42,.643,.551,22,27,.815,8,27,35,25,15,6,18,20
25,25,2024-12-08,@,SAS,L,116,121,,43,99,.434,13,38,.342,30,61,.492,.500,17,21,.810,13,30,43,26,9,8,8,21
26,26,2024-12-12,,SAC,L,109,111,,39,83,.470,14,37,.378,25,46,.543,.554,17,20,.850,10,33,43,22,6,4,17,22
27,27,2024-12-15,@,IND,L,104,119,,38,97,.392,10,33,.303,28,64,.438,.443,18,23,.783,19,30,49,18,11,4,18,19
28,28,2024-12-19,@,HOU,L,113,133,,41,92,.446,13,28,.464,28,64,.438,.516,18,25,.720,11,26,37,25,6,2,12,22
29,29,2024-12-21,,NYK,L,93,104,,34,83,.410,12,34,.353,22,49,.449,.482,13,19,.684,16,29,45,23,8,5,19,20
30,30,2024-12-22,,DEN,L,129,132,OT,50,108,.463,12,40,.300,38,68,.559,.519,17,23,.739,9,34,43,37,16,9,15,23
31,31,2024-12-26,,HOU,L,111,128,,43,99,.434,12,37,.324,31,62,.500,.495,13,18,.722,17,27,44,29,12,2,16,16
32,32,2024-12-27,,MEM,L,124,132,,43,96,.448,11,38,.289,32,58,.552,.505,27,29,.931,12,33,45,30,13,10,17,25
33,33,2024-12-30,,LAC,L,113,116,,42,82,.512,18,37,.486,24,45,.533,.622,11,14,.786,6,29,35,30,13,5,16,22
34,34,2025-01-01,@,MIA,L,108,119,,40,80,.500,9,34,.265,31,46,.674,.556,19,22,.864,5,26,31,25,4,7,11,15
35,35,2025-01-03,,WAS,W,132,120,,48,96,.500,18,41,.439,30,55,.545,.594,18,22,.818,13,24,37,36,10,6,8,22
36,36,2025-01-05,@,WAS,W,110,98,,37,90,.411,18,49,.367,19,41,.463,.511,18,20,.900,11,38,49,26,7,8,12,13
37,37,2025-01-07,,MIN,L,97,104,,35,94,.372,12,41,.293,23,53,.434,.436,15,24,.625,13,33,46,23,12,5,14,18
38,38,2025-01-08,,POR,L,100,119,,40,90,.444,12,37,.324,28,53,.528,.511,8,11,.727,18,23,41,19,11,3,19,15
39,39,2025-01-10,@,PHI,W,123,115,,44,91,.484,18,40,.450,26,51,.510,.582,17,26,.654,12,32,44,31,7,8,12,16
40,40,2025-01-12,@,BOS,L,119,120,,40,86,.465,17,37,.459,23,49,.469,.564,22,26,.846,6,36,42,24,8,3,10,19
