Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-22,@,BOS,L,109,132,,43,78,.551,11,30,.367,32,48,.667,.622,12,16,.750,5,29,34,20,2,3,12,12
2,2,2024-10-25,,IND,W,123,98,,44,84,.524,12,27,.444,32,57,.561,.595,23,29,.793,11,32,43,19,5,4,12,18
3,3,2024-10-28,,CLE,L,104,110,,40,90,.444,9,28,.321,31,62,.500,.494,15,18,.833,13,30,43,22,8,3,16,21
4,4,2024-10-30,@,MIA,W,116,107,,40,82,.488,18,40,.450,22,42,.524,.598,18,20,.900,7,35,42,30,8,4,11,16
5,5,2024-11-01,@,DET,W,128,98,,52,101,.515,18,38,.474,34,63,.540,.604,6,10,.600,12,33,45,31,16,3,10,14
6,6,2024-11-04,@,HOU,L,97,109,,34,88,.386,11,28,.393,23,60,.383,.449,18,21,.857,13,26,39,20,6,4,10,18
7,7,2024-11-06,@,ATL,L,116,121,,41,84,.488,22,47,.468,19,37,.514,.619,12,15,.800,7,34,41,29,5,5,16,18
8,8,2024-11-08,,MIL,W,116,94,,43,91,.473,14,46,.304,29,45,.644,.549,16,19,.842,14,34,48,35,7,3,11,20
9,9,2024-11-10,@,IND,L,121,132,,46,83,.554,7,25,.280,39,58,.672,.596,22,27,.815,8,31,39,23,5,3,14,20
10,10,2024-11-12,@,PHI,W,111,99,,44,89,.494,9,31,.290,35,58,.603,.545,14,15,.933,8,39,47,31,8,5,15,15
11,11,2024-11-13,,CHI,L,123,124,,48,94,.511,15,37,.405,33,57,.579,.590,12,18,.667,10,30,40,31,7,3,15,17
12,12,2024-11-15,,BRK,W,124,122,,44,83,.530,13,38,.342,31,45,.689,.608,23,28,.821,8,37,45,25,7,6,13,21
13,13,2024-11-17,,BRK,W,114,104,,43,88,.489,13,40,.325,30,48,.625,.563,15,19,.789,10,37,47,33,4,5,8,23
14,14,2024-11-18,,WAS,W,134,106,,51,91,.560,20,40,.500,31,51,.608,.670,12,13,.923,7,34,41,37,4,1,8,12
15,15,2024-11-20,@,PHO,W,138,122,,50,86,.581,19,39,.487,31,47,.660,.692,19,21,.905,10,31,41,30,10,0,15,15
16,16,2024-11-23,@,UTA,L,106,121,,39,100,.390,17,51,.333,22,49,.449,.475,11,12,.917,11,29,40,25,10,10,9,19
17,17,2024-11-25,@,DEN,W,145,118,,56,92,.609,19,36,.528,37,56,.661,.712,14,16,.875,8,35,43,45,5,4,11,23
18,18,2024-11-27,@,DAL,L,114,129,,40,86,.465,7,29,.241,33,57,.579,.506,27,30,.900,7,26,33,20,9,3,9,19
19,19,2024-11-29,@,CHO,W,99,98,,36,81,.444,12,32,.375,24,49,.490,.519,15,19,.789,12,32,44,20,7,5,21,19
20,20,2024-12-01,,NOP,W,118,85,,42,92,.457,20,45,.444,22,47,.468,.565,14,16,.875,14,46,60,30,10,9,17,14
