Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-24,@,DEN,W,102,87,,43,101,.426,8,36,.222,35,65,.538,.465,8,12,.667,13,36,49,23,9,13,12,15
2,2,2024-10-26,@,CHI,W,114,95,,45,107,.421,8,40,.200,37,67,.552,.458,16,20,.800,9,45,54,21,15,5,10,18
3,3,2024-10-27,,ATL,W,128,104,,44,89,.494,16,40,.400,28,49,.571,.584,24,32,.750,11,34,45,26,13,12,10,23
4,4,2024-10-30,,SAS,W,105,93,,41,89,.461,17,41,.415,24,48,.500,.556,6,8,.750,5,34,39,28,18,6,14,15
5,5,2024-11-01,@,POR,W,137,114,,51,95,.537,19,49,.388,32,46,.696,.637,16,19,.842,14,31,45,31,14,9,13,29
6,6,2024-11-02,@,LAC,W,105,92,,36,84,.429,16,39,.410,20,45,.444,.524,17,19,.895,3,38,41,25,11,3,12,22
7,7,2024-11-04,,ORL,W,102,86,,39,85,.459,12,31,.387,27,54,.500,.529,12,16,.750,5,37,42,23,12,4,17,21
8,8,2024-11-06,@,DEN,L,122,124,,44,100,.440,16,40,.400,28,60,.467,.520,18,23,.783,13,34,47,29,15,6,14,28
9,9,2024-11-08,,HOU,W,126,107,,46,90,.511,14,37,.378,32,53,.604,.589,20,23,.870,7,34,41,24,9,8,11,23
10,10,2024-11-10,,GSW,L,116,127,,42,94,.447,11,33,.333,31,61,.508,.505,21,26,.808,14,27,41,25,4,6,11,18
11,11,2024-11-11,,LAC,W,134,128,,47,91,.516,18,46,.391,29,45,.644,.615,22,23,.957,9,20,29,31,16,5,11,23
12,12,2024-11-13,,NOP,W,106,88,,39,88,.443,15,39,.385,24,49,.490,.528,13,16,.813,5,26,31,20,16,7,7,17
13,13,2024-11-15,,PHO,W,99,83,,36,91,.396,10,40,.250,26,51,.510,.451,17,18,.944,13,40,53,21,6,11,11,26
14,14,2024-11-17,,DAL,L,119,121,,43,87,.494,14,42,.333,29,45,.644,.575,19,25,.760,7,22,29,29,11,5,8,25
15,15,2024-11-19,@,SAS,L,104,110,,41,100,.410,16,53,.302,25,47,.532,.490,6,7,.857,13,34,47,24,16,4,14,18
16,16,2024-11-20,,POR,W,109,99,,40,91,.440,9,31,.290,31,60,.517,.489,20,23,.870,15,31,46,24,14,8,14,20
17,17,2024-11-25,@,SAC,W,130,109,,48,86,.558,14,31,.452,34,55,.618,.640,20,25,.800,11,33,44,28,6,3,15,18
