Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,@,LAC,W,116,113,OT,38,78,.487,15,38,.395,23,40,.575,.583,25,34,.735,4,38,42,25,12,9,22,23
2,2,2024-10-25,@,LAL,L,116,123,,42,82,.512,17,37,.459,25,45,.556,.616,15,17,.882,5,29,34,35,8,4,17,26
3,3,2024-10-26,,DAL,W,114,102,,36,80,.450,14,39,.359,22,41,.537,.538,28,37,.757,7,40,47,26,3,4,11,17
4,4,2024-10-28,,LAL,W,109,105,,40,87,.460,11,36,.306,29,51,.569,.523,18,20,.900,9,37,46,21,7,11,11,22
5,5,2024-10-31,@,LAC,W,125,119,,42,82,.512,18,39,.462,24,43,.558,.622,23,28,.821,8,31,39,29,12,4,12,20
6,6,2024-11-02,,POR,W,103,97,,35,93,.376,17,52,.327,18,41,.439,.468,16,22,.727,13,50,63,29,4,8,14,10
7,7,2024-11-04,,PHI,W,118,116,,42,82,.512,11,32,.344,31,50,.620,.579,23,26,.885,9,34,43,24,6,4,14,16
8,8,2024-11-06,,MIA,W,115,112,,42,84,.500,18,43,.419,24,41,.585,.607,13,18,.722,10,36,46,29,5,6,16,14
9,9,2024-11-08,@,DAL,W,114,113,,43,86,.500,15,39,.385,28,47,.596,.587,13,18,.722,11,26,37,26,6,2,9,18
10,10,2024-11-10,,SAC,L,118,127,OT,44,105,.419,18,57,.316,26,48,.542,.505,12,15,.800,8,40,48,30,11,3,12,19
11,11,2024-11-12,@,UTA,W,120,112,,43,86,.500,18,39,.462,25,47,.532,.605,16,22,.727,10,32,42,21,6,11,10,11
12,12,2024-11-13,@,SAC,L,104,127,,36,97,.371,13,43,.302,23,54,.426,.438,19,26,.731,19,21,40,23,12,2,10,12
13,13,2024-11-15,@,OKC,L,83,99,,22,75,.293,9,37,.243,13,38,.342,.353,30,40,.750,11,39,50,17,6,4,17,20
14,14,2024-11-17,@,MIN,L,117,120,,46,85,.541,14,31,.452,32,54,.593,.624,11,15,.733,12,29,41,29,9,2,21,26
15,15,2024-11-18,,ORL,L,99,109,,35,83,.422,12,41,.293,23,42,.548,.494,17,25,.680,16,29,45,25,5,2,13,21
16,16,2024-11-20,,NYK,L,122,138,,45,92,.489,19,50,.380,26,42,.619,.592,13,17,.765,11,23,34,30,9,2,14,16
17,17,2024-11-26,,LAL,W,127,100,,51,99,.515,17,42,.405,34,57,.596,.601,8,10,.800,8,38,46,31,9,3,9,18
18,18,2024-11-27,,BRK,L,117,127,,41,77,.532,12,31,.387,29,46,.630,.610,23,28,.821,3,34,37,25,7,5,17,26
19,19,2024-11-30,,GSW,W,113,105,,38,79,.481,18,35,.514,20,44,.455,.595,19,22,.864,6,39,45,31,4,9,14,13
20,20,2024-12-03,,SAS,W,104,93,,38,78,.487,11,32,.344,27,46,.587,.558,17,21,.810,2,42,44,26,10,5,14,16
21,21,2024-12-05,@,NOP,L,124,126,,43,85,.506,17,45,.378,26,40,.650,.606,21,26,.808,10,36,46,32,10,3,17,15
22,22,2024-12-07,@,MIA,L,111,121,,36,82,.439,16,41,.390,20,41,.488,.537,23,25,.920,13,28,41,29,8,3,14,20
23,23,2024-12-08,@,ORL,L,110,115,,39,83,.470,13,28,.464,26,55,.473,.548,19,22,.864,9,30,39,24,7,6,21,24
24,24,2024-12-13,@,UTA,W,134,126,,47,89,.528,22,45,.489,25,44,.568,.652,18,20,.900,9,28,37,36,10,7,8,18
25,25,2024-12-15,,POR,W,116,109,,43,89,.483,15,39,.385,28,50,.560,.567,15,19,.789,12,34,46,23,7,2,11,13
