Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,,GSW,L,104,140,,36,92,.391,8,34,.235,28,58,.483,.435,24,30,.800,13,29,42,21,10,4,18,22
2,2,2024-10-25,,NOP,L,103,105,,37,90,.411,13,37,.351,24,53,.453,.483,16,20,.800,10,38,48,26,7,11,20,22
3,3,2024-10-27,,NOP,W,125,103,,43,93,.462,14,35,.400,29,58,.500,.538,25,32,.781,22,29,51,25,9,8,16,21
4,4,2024-10-28,@,SAC,L,98,111,,35,83,.422,4,22,.182,31,61,.508,.446,24,30,.800,12,34,46,17,5,4,18,22
5,5,2024-10-30,@,LAC,W,106,105,,41,92,.446,14,33,.424,27,59,.458,.522,10,12,.833,12,35,47,19,9,6,13,18
6,6,2024-11-01,,OKC,L,114,137,,39,83,.470,15,35,.429,24,48,.500,.560,21,31,.677,11,25,36,27,8,5,19,17
7,7,2024-11-02,@,PHO,L,97,103,,37,111,.333,14,43,.326,23,68,.338,.396,9,11,.818,14,42,56,17,10,5,6,18
8,8,2024-11-04,@,NOP,W,118,100,,46,84,.548,10,29,.345,36,55,.655,.607,16,24,.667,11,27,38,21,10,5,12,15
9,9,2024-11-07,@,SAS,L,105,118,,41,86,.477,9,32,.281,32,54,.593,.529,14,22,.636,14,27,41,23,7,3,14,14
10,10,2024-11-08,@,MIN,L,102,127,,39,91,.429,6,25,.240,33,66,.500,.462,18,24,.750,12,25,37,13,11,7,17,17
11,11,2024-11-10,,MEM,L,89,134,,34,100,.340,4,42,.095,30,58,.517,.360,17,21,.810,16,27,43,18,9,3,24,21
12,12,2024-11-12,,MIN,W,122,108,,43,84,.512,18,32,.563,25,52,.481,.619,18,20,.900,11,28,39,30,14,7,20,23
13,13,2024-11-13,,MIN,W,106,98,,38,83,.458,9,25,.360,29,58,.500,.512,21,23,.913,11,36,47,17,10,10,20,18
14,14,2024-11-17,,ATL,W,114,110,,44,95,.463,14,38,.368,30,57,.526,.537,12,19,.632,18,22,40,31,16,10,20,21
15,15,2024-11-20,@,OKC,L,99,109,,32,79,.405,15,38,.395,17,41,.415,.500,20,28,.714,16,33,49,18,6,7,24,20
16,16,2024-11-22,@,HOU,L,88,116,,30,91,.330,11,43,.256,19,48,.396,.390,17,22,.773,13,32,45,17,9,8,21,20
17,17,2024-11-23,@,HOU,W,104,98,,34,90,.378,18,44,.409,16,46,.348,.478,18,23,.783,16,37,53,16,5,12,18,26
18,18,2024-11-25,@,MEM,L,98,123,,34,102,.333,8,46,.174,26,56,.464,.373,22,28,.786,19,25,44,22,10,7,11,21
19,19,2024-11-27,@,IND,L,114,121,,44,87,.506,16,35,.457,28,52,.538,.598,10,17,.588,13,25,38,31,6,5,14,18
20,20,2024-11-29,,SAC,W,115,106,,46,90,.511,11,37,.297,35,53,.660,.572,12,15,.800,8,32,40,27,10,3,12,17
21,21,2024-12-01,,DAL,L,131,137,,49,84,.583,18,31,.581,31,53,.585,.690,15,18,.833,10,29,39,29,7,0,21,25
22,22,2024-12-03,@,LAC,L,105,127,,41,80,.513,10,29,.345,31,51,.608,.575,13,16,.813,11,18,29,25,6,4,18,15
23,23,2024-12-06,,UTA,L,99,141,,37,95,.389,14,47,.298,23,48,.479,.463,11,17,.647,6,28,34,23,4,7,11,22
24,24,2024-12-08,@,LAL,L,98,107,,35,84,.417,9,36,.250,26,48,.542,.470,19,21,.905,12,37,49,17,4,3,18,19
25,25,2024-12-13,,SAS,L,116,118,,42,82,.512,16,41,.390,26,41,.634,.610,16,17,.941,8,28,36,25,9,5,16,22
26,26,2024-12-15,@,PHO,L,109,116,,42,94,.447,15,49,.306,27,45,.600,.527,10,13,.769,12,36,48,30,6,4,13,22
27,27,2024-12-19,,DEN,W,126,124,,45,97,.464,16,46,.348,29,51,.569,.546,20,24,.833,15,30,45,29,7,7,10,18
28,28,2024-12-21,@,SAS,L,94,114,,38,96,.396,12,43,.279,26,53,.491,.458,6,9,.667,11,33,44,21,8,3,13,15
