Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-24,,MIN,L,115,117,,38,82,.463,11,29,.379,27,53,.509,.530,28,35,.800,4,34,38,21,7,2,9,18
2,2,2024-10-26,@,LAL,L,127,131,,45,88,.511,15,44,.341,30,44,.682,.597,22,25,.880,5,27,32,32,12,5,14,19
3,3,2024-10-28,,POR,W,111,98,,37,81,.457,14,35,.400,23,46,.500,.543,23,25,.920,9,31,40,25,8,6,16,27
4,4,2024-10-29,@,UTA,W,113,96,,48,92,.522,8,31,.258,40,61,.656,.565,9,14,.643,9,40,49,26,9,9,12,19
5,5,2024-11-01,@,ATL,W,123,115,,43,89,.483,11,33,.333,32,56,.571,.545,26,30,.867,10,41,51,28,9,4,14,21
6,6,2024-11-02,@,TOR,L,128,131,OT,46,100,.460,10,40,.250,36,60,.600,.510,26,32,.813,15,34,49,21,16,3,18,22
7,7,2024-11-04,@,MIA,W,111,110,,44,86,.512,10,27,.370,34,59,.576,.570,13,15,.867,11,28,39,23,5,4,14,28
8,8,2024-11-06,,TOR,W,122,107,,42,90,.467,10,35,.286,32,55,.582,.522,28,32,.875,15,32,47,26,7,5,10,13
9,9,2024-11-08,,LAC,L,98,107,,37,78,.474,3,26,.115,34,52,.654,.494,21,24,.875,5,30,35,19,6,3,14,19
10,10,2024-11-10,@,PHO,W,127,118,OT,50,102,.490,11,37,.297,39,65,.600,.544,16,19,.842,8,49,57,23,7,3,15,20
11,11,2024-11-11,@,SAS,L,96,116,,39,91,.429,10,38,.263,29,53,.547,.484,8,9,.889,9,28,37,18,11,4,11,14
12,12,2024-11-13,,PHO,W,127,104,,50,78,.641,15,28,.536,35,50,.700,.737,12,17,.706,6,39,45,38,7,8,17,20
13,13,2024-11-15,,MIN,L,126,130,OT,48,96,.500,12,37,.324,36,59,.610,.563,18,20,.900,11,40,51,21,6,7,13,17
14,14,2024-11-16,,UTA,W,121,117,,42,83,.506,19,41,.463,23,42,.548,.620,18,25,.720,9,26,35,24,6,3,14,29
15,15,2024-11-18,,ATL,L,108,109,,37,85,.435,20,46,.435,17,39,.436,.553,14,19,.737,9,36,45,24,9,4,17,20
16,16,2024-11-22,@,LAC,L,88,104,,32,83,.386,7,35,.200,25,48,.521,.428,17,24,.708,8,40,48,19,5,8,15,13
17,17,2024-11-24,,BRK,L,103,108,,37,77,.481,9,25,.360,28,52,.538,.539,20,31,.645,11,33,44,21,6,6,16,22
18,18,2024-11-25,,OKC,L,109,130,,42,87,.483,8,32,.250,34,55,.618,.529,17,23,.739,9,22,31,24,10,4,12,22
19,19,2024-11-27,@,MIN,W,115,104,,46,94,.489,12,37,.324,34,57,.596,.553,11,15,.733,12,35,47,28,8,3,17,21
20,20,2024-11-29,@,POR,L,106,115,,35,78,.449,15,42,.357,20,36,.556,.545,21,28,.750,11,30,41,29,7,4,20,19
21,21,2024-12-01,,SAS,L,125,127,,47,101,.465,12,32,.375,35,69,.507,.525,19,24,.792,21,30,51,32,8,5,10,23
22,22,2024-12-03,,HOU,W,120,111,,47,91,.516,14,30,.467,33,61,.541,.593,12,20,.600,10,24,34,33,7,8,10,20
23,23,2024-12-05,@,MEM,L,110,115,,39,98,.398,8,35,.229,31,63,.492,.439,24,28,.857,14,32,46,19,11,1,13,23
24,24,2024-12-06,@,SAS,W,140,113,,51,90,.567,16,34,.471,35,56,.625,.656,22,24,.917,7,37,44,33,7,6,11,20
25,25,2024-12-08,,UTA,W,141,97,,57,100,.570,22,44,.500,35,56,.625,.680,5,8,.625,9,34,43,39,10,7,8,17
26,26,2024-12-12,@,NOP,W,111,109,,37,92,.402,10,33,.303,27,59,.458,.457,27,29,.931,17,33,50,24,12,2,11,19
27,27,2024-12-16,,DEN,L,129,130,,49,102,.480,12,35,.343,37,67,.552,.539,19,20,.950,11,31,42,28,10,9,11,23
28,28,2024-12-19,,LAL,L,100,113,,37,82,.451,11,29,.379,26,53,.491,.518,15,22,.682,4,39,43,27,7,6,16,20
29,29,2024-12-21,,LAL,L,99,103,,39,90,.433,10,37,.270,29,53,.547,.489,11,14,.786,11,35,46,25,10,1,14,20
30,30,2024-12-22,,IND,L,95,122,,35,96,.365,12,38,.316,23,58,.397,.427,13,17,.765,15,32,47,21,3,3,10,11
31,31,2024-12-26,,DET,L,113,114,,39,82,.476,14,39,.359,25,43,.581,.561,21,26,.808,8,36,44,20,3,6,14,20
32,32,2024-12-28,@,LAL,L,122,132,,50,98,.510,11,40,.275,39,58,.672,.566,11,15,.733,13,26,39,38,7,2,10,26
33,33,2024-12-30,,DAL,W,110,100,,42,100,.420,10,32,.313,32,68,.471,.470,16,19,.842,18,40,58,25,8,1,16,23
34,34,2025-01-01,,PHI,W,113,107,,41,84,.488,9,31,.290,32,53,.604,.542,22,24,.917,14,31,45,24,11,4,17,14
35,35,2025-01-03,,MEM,W,138,133,,49,99,.495,21,47,.447,28,52,.538,.601,19,23,.826,10,27,37,32,10,8,10,23
36,36,2025-01-05,@,GSW,W,129,99,,45,87,.517,19,43,.442,26,44,.591,.626,20,22,.909,10,33,43,31,15,3,16,19
37,37,2025-01-06,,MIA,W,123,118,2OT,45,108,.417,13,38,.342,32,70,.457,.477,20,26,.769,18,42,60,30,7,8,15,20
38,38,2025-01-10,@,BOS,W,114,97,,44,102,.431,18,47,.383,26,55,.473,.520,8,9,.889,16,40,56,26,11,8,12,18
39,39,2025-01-12,@,CHI,W,124,119,,47,95,.495,13,39,.333,34,56,.607,.563,17,21,.810,11,42,53,33,4,3,8,14
40,40,2025-01-14,@,MIL,L,115,130,,42,95,.442,17,42,.405,25,53,.472,.532,14,18,.778,9,36,45,25,4,5,9,16
41,41,2025-01-16,,HOU,W,132,127,,49,98,.500,14,33,.424,35,65,.538,.571,20,22,.909,12,32,44,32,5,3,12,15
42,42,2025-01-19,,WAS,W,123,100,,46,95,.484,12,39,.308,34,56,.607,.547,19,24,.792,10,41,51,28,12,4,12,20
43,43,2025-01-22,,GSW,W,123,117,,41,81,.506,11,30,.367,30,51,.588,.574,30,32,.938,5,33,38,24,9,7,8,14
44,44,2025-01-23,@,DEN,L,123,132,,47,107,.439,15,41,.366,32,66,.485,.509,14,19,.737,17,36,53,31,5,3,13,20
45,45,2025-01-25,@,NYK,L,120,143,,46,95,.484,14,36,.389,32,59,.542,.558,14,16,.875,9,29,38,33,5,5,12,19
46,46,2025-01-27,@,BRK,W,110,96,,45,82,.549,9,28,.321,36,54,.667,.604,11,17,.647,11,33,44,31,7,4,18,24
47,47,2025-01-29,@,PHI,L,104,117,,40,90,.444,10,41,.244,30,49,.612,.500,14,17,.824,14,32,46,34,5,1,12,16
48,48,2025-02-01,@,OKC,L,110,144,,40,100,.400,11,44,.250,29,56,.518,.455,19,26,.731,9,28,37,25,8,5,8,10
49,49,2025-02-03,@,MIN,W,116,114,,45,92,.489,10,24,.417,35,68,.515,.543,16,20,.800,11,36,47,23,7,6,12,16
50,50,2025-02-05,,ORL,L,111,130,,40,80,.500,10,27,.370,30,53,.566,.563,21,28,.750,14,23,37,23,6,4,19,14
51,51,2025-02-06,@,POR,L,102,108,,37,88,.420,10,30,.333,27,58,.466,.477,18,22,.818,11,36,47,21,8,6,11,20
52,52,2025-02-08,,NOP,W,123,118,,43,91,.473,11,41,.268,32,50,.640,.533,26,33,.788,11,40,51,24,10,7,18,22
53,53,2025-02-10,@,DAL,W,129,128,OT,53,96,.552,9,26,.346,44,70,.629,.599,14,19,.737,13,37,50,28,3,3,21,22
54,54,2025-02-12,@,NOP,W,119,111,,41,87,.471,16,45,.356,25,42,.595,.563,21,29,.724,12,36,48,28,4,7,11,16
55,55,2025-02-13,@,NOP,L,133,140,OT,49,112,.438,17,47,.362,32,65,.492,.513,18,21,.857,21,37,58,38,8,1,15,19
56,56,2025-02-21,,GSW,L,108,132,,40,79,.506,11,32,.344,29,47,.617,.576,17,18,.944,11,28,39,26,8,3,24,16
57,57,2025-02-24,,CHO,W,130,88,,47,87,.540,20,38,.526,27,49,.551,.655,16,18,.889,11,38,49,30,12,4,18,18
58,58,2025-02-26,@,UTA,W,118,101,,46,87,.529,15,36,.417,31,51,.608,.615,11,12,.917,7,40,47,28,6,7,16,13
59,59,2025-03-01,@,HOU,W,113,103,,44,87,.506,9,28,.321,35,59,.593,.557,16,21,.762,13,33,46,21,13,5,14,17
60,60,2025-03-03,@,DAL,W,122,98,,47,90,.522,16,34,.471,31,56,.554,.611,12,12,1.000,9,28,37,34,4,4,7,16
61,61,2025-03-05,@,DEN,L,110,116,,44,96,.458,11,27,.407,33,69,.478,.516,11,14,.786,14,31,45,22,8,6,12,20
62,62,2025-03-07,,SAS,W,127,109,,49,96,.510,17,38,.447,32,58,.552,.599,12,19,.632,16,35,51,31,6,4,8,16
63,63,2025-03-09,@,LAC,L,110,111,OT,40,87,.460,9,34,.265,31,53,.585,.511,21,25,.840,8,40,48,27,6,1,8,19
64,64,2025-03-10,,NYK,L,104,133,,36,86,.419,10,34,.294,26,52,.500,.477,22,26,.846,14,23,37,18,7,4,18,20
65,65,2025-03-13,@,GSW,L,104,130,,37,79,.468,14,37,.378,23,42,.548,.557,16,22,.727,5,25,30,25,7,4,15,15
66,66,2025-03-14,@,PHO,L,106,122,,40,81,.494,8,32,.250,32,49,.653,.543,18,20,.900,12,28,40,25,7,1,19,18
67,67,2025-03-17,,MEM,W,132,122,,46,88,.523,20,41,.488,26,47,.553,.636,20,30,.667,10,28,38,35,11,7,14,21
68,68,2025-03-19,,CLE,W,123,119,,46,91,.505,16,35,.457,30,56,.536,.593,15,16,.938,14,27,41,28,9,1,13,20
69,69,2025-03-20,,CHI,L,116,128,,41,86,.477,15,39,.385,26,47,.553,.564,19,23,.826,9,27,36,27,4,5,12,22
70,70,2025-03-22,,MIL,L,108,114,,41,91,.451,9,38,.237,32,53,.604,.500,17,22,.773,14,30,44,21,4,2,8,17
71,71,2025-03-24,,BOS,L,95,113,,39,86,.453,8,24,.333,31,62,.500,.500,9,11,.818,8,37,45,23,7,1,15,18
