Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,,CLE,L,106,136,,36,86,.419,12,31,.387,24,55,.436,.488,22,29,.759,14,24,38,25,8,6,19,24
2,2,2024-10-25,,PHI,W,115,107,,35,76,.461,6,23,.261,29,53,.547,.500,39,46,.848,18,36,54,25,11,13,27,34
3,3,2024-10-26,@,MIN,L,101,112,,41,90,.456,10,29,.345,31,61,.508,.511,9,13,.692,12,34,46,29,9,4,20,22
4,4,2024-10-28,,DEN,L,125,127,OT,49,109,.450,10,35,.286,39,74,.527,.495,17,21,.810,18,36,54,30,7,7,15,27
5,5,2024-10-30,@,CHO,L,133,138,,52,91,.571,9,28,.321,43,63,.683,.621,20,30,.667,13,28,41,37,9,5,14,25
6,6,2024-11-01,,LAL,L,125,131,,52,107,.486,10,35,.286,42,72,.583,.533,11,13,.846,15,29,44,35,4,6,11,29
7,7,2024-11-02,,SAC,W,131,128,OT,46,95,.484,17,37,.459,29,58,.500,.574,22,31,.710,12,34,46,31,13,3,19,25
8,8,2024-11-04,@,DEN,L,119,121,,47,103,.456,13,39,.333,34,64,.531,.519,12,18,.667,14,27,41,38,12,3,14,27
9,9,2024-11-06,@,SAC,L,107,122,,43,88,.489,10,34,.294,33,54,.611,.545,11,15,.733,8,26,34,25,7,1,12,23
10,10,2024-11-09,@,LAC,L,103,105,,40,95,.421,11,37,.297,29,58,.500,.479,12,21,.571,12,32,44,26,8,5,10,23
11,11,2024-11-10,@,LAL,L,103,123,,37,82,.451,10,29,.345,27,53,.509,.512,19,22,.864,12,28,40,26,2,2,18,23
12,12,2024-11-12,@,MIL,L,85,99,,30,86,.349,9,25,.360,21,61,.344,.401,16,20,.800,17,37,54,20,11,6,22,11
13,13,2024-11-15,,DET,L,95,99,,35,97,.361,8,31,.258,27,66,.409,.402,17,22,.773,17,36,53,21,7,6,15,13
14,14,2024-11-16,@,BOS,L,123,126,OT,50,98,.510,9,23,.391,41,75,.547,.556,14,21,.667,15,31,46,35,3,2,9,19
15,15,2024-11-18,,IND,W,130,119,,48,82,.585,14,29,.483,34,53,.642,.671,20,28,.714,10,36,46,27,5,9,23,26
16,16,2024-11-21,,MIN,W,110,105,,37,72,.514,7,23,.304,30,49,.612,.563,29,39,.744,10,33,43,22,11,1,17,24
17,17,2024-11-24,@,CLE,L,108,122,,37,92,.402,12,39,.308,25,53,.472,.467,22,34,.647,19,36,55,22,9,5,16,18
18,18,2024-11-25,@,DET,L,100,102,,41,104,.394,10,35,.286,31,69,.449,.442,8,10,.800,23,27,50,26,7,5,10,27
19,19,2024-11-27,@,NOP,W,119,93,,47,95,.495,21,52,.404,26,43,.605,.605,4,12,.333,12,40,52,38,11,4,16,16
20,20,2024-11-29,@,MIA,L,111,121,,43,80,.538,11,29,.379,32,51,.627,.606,14,17,.824,10,36,46,34,4,3,19,17
21,21,2024-12-01,,MIA,W,119,116,,47,88,.534,10,29,.345,37,59,.627,.591,15,20,.750,10,37,47,30,4,5,16,23
