Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-23,,MEM,L,124,126,,40,85,.471,10,26,.385,30,59,.508,.529,34,45,.756,14,35,49,21,7,9,17,24
2,2,2024-10-25,,GSW,L,86,127,,29,92,.315,9,42,.214,20,50,.400,.364,19,26,.731,14,31,45,18,8,5,22,11
3,3,2024-10-28,@,DAL,L,102,110,,34,92,.370,10,35,.286,24,57,.421,.424,24,29,.828,15,35,50,24,7,5,15,17
4,4,2024-10-29,,SAC,L,96,113,,35,89,.393,14,48,.292,21,41,.512,.472,12,14,.857,12,30,42,24,7,4,17,16
5,5,2024-10-31,,SAS,L,88,106,,32,82,.390,7,32,.219,25,50,.500,.433,17,19,.895,15,38,53,19,6,6,26,19
6,6,2024-11-02,@,DEN,L,103,129,,32,77,.416,13,42,.310,19,35,.543,.500,26,31,.839,8,31,39,24,7,8,24,22
7,7,2024-11-04,@,CHI,W,135,126,,48,89,.539,16,36,.444,32,53,.604,.629,23,30,.767,12,37,49,35,3,6,13,18
8,8,2024-11-07,@,MIL,L,100,123,,33,77,.429,17,41,.415,16,36,.444,.539,17,18,.944,8,31,39,24,5,5,22,19
9,9,2024-11-09,@,SAS,W,111,110,,38,82,.463,10,33,.303,28,49,.571,.524,25,35,.714,9,36,45,23,13,4,18,20
10,10,2024-11-12,,PHO,L,112,120,,45,92,.489,15,38,.395,30,54,.556,.571,7,9,.778,12,27,39,32,7,3,13,17
11,11,2024-11-14,,DAL,W,115,113,,43,85,.506,13,34,.382,30,51,.588,.582,16,21,.762,16,24,40,25,11,2,20,20
12,12,2024-11-16,@,SAC,L,117,121,,37,75,.493,12,26,.462,25,49,.510,.573,31,42,.738,11,22,33,16,11,3,16,20
13,13,2024-11-17,@,LAC,L,105,116,,39,79,.494,12,40,.300,27,39,.692,.570,15,18,.833,9,32,41,24,7,1,19,14
14,14,2024-11-19,@,LAL,L,118,124,,45,90,.500,12,36,.333,33,54,.611,.567,16,19,.842,11,31,42,28,9,0,16,24
15,15,2024-11-21,@,SAS,L,118,126,,41,98,.418,13,45,.289,28,53,.528,.485,23,26,.885,12,37,49,22,4,7,14,29
16,16,2024-11-23,,NYK,W,121,106,,44,87,.506,19,34,.559,25,53,.472,.615,14,19,.737,9,43,52,30,4,4,18,19
17,17,2024-11-26,,SAS,L,115,128,,43,84,.512,13,35,.371,30,49,.612,.589,16,20,.800,10,31,41,24,6,4,21,20
18,18,2024-11-27,,DEN,L,103,122,,38,90,.422,16,43,.372,22,47,.468,.511,11,18,.611,21,26,47,25,7,5,19,17
19,19,2024-11-30,,DAL,L,94,106,,34,95,.358,9,39,.231,25,56,.446,.405,17,21,.810,19,34,53,20,10,7,15,14
20,20,2024-12-01,,LAL,L,104,105,,40,79,.506,14,40,.350,26,39,.667,.595,10,16,.625,8,36,44,27,4,4,15,19
21,21,2024-12-03,@,OKC,L,106,133,,38,70,.543,13,35,.371,25,35,.714,.636,17,22,.773,11,25,36,21,3,6,29,14
22,22,2024-12-06,@,POR,W,141,99,,53,96,.552,14,32,.438,39,64,.609,.625,21,23,.913,11,50,61,34,6,11,14,17
23,23,2024-12-08,@,SAC,L,97,141,,31,80,.388,15,42,.357,16,38,.421,.481,20,21,.952,9,29,38,21,6,6,20,17
24,24,2024-12-13,,PHO,L,126,134,,43,77,.558,22,39,.564,21,38,.553,.701,18,22,.818,6,28,34,30,5,6,15,17
25,25,2024-12-16,@,LAC,L,107,144,,36,80,.450,13,39,.333,23,41,.561,.531,22,30,.733,10,25,35,22,8,3,23,20
26,26,2024-12-19,@,DET,W,126,119,,39,83,.470,20,40,.500,19,43,.442,.590,28,31,.903,15,47,62,23,5,8,27,19
27,27,2024-12-21,@,BRK,W,105,94,,41,86,.477,14,41,.341,27,45,.600,.558,9,17,.529,10,35,45,25,11,8,18,16
28,28,2024-12-23,@,CLE,L,113,124,,38,92,.413,19,44,.432,19,48,.396,.516,18,26,.692,18,33,51,27,6,5,17,20
29,29,2024-12-26,@,POR,L,120,122,,41,86,.477,21,42,.500,20,44,.455,.599,17,25,.680,11,35,46,26,9,5,13,16
30,30,2024-12-28,,PHI,L,111,114,,43,89,.483,12,36,.333,31,53,.585,.551,13,15,.867,14,34,48,27,3,3,22,25
31,31,2024-12-30,,DEN,L,121,132,,44,86,.512,13,38,.342,31,48,.646,.587,20,22,.909,7,30,37,28,6,2,16,17
32,32,2025-01-01,@,NYK,L,103,119,,39,96,.406,13,43,.302,26,53,.491,.474,12,15,.800,14,31,45,23,7,6,17,19
33,33,2025-01-04,@,MIA,W,136,100,,52,100,.520,19,46,.413,33,54,.611,.615,13,16,.813,16,41,57,31,11,4,14,21
34,34,2025-01-05,@,ORL,W,105,92,,39,81,.481,11,32,.344,28,49,.571,.549,16,18,.889,11,39,50,21,6,5,22,19
35,35,2025-01-07,,ATL,L,121,124,,40,96,.417,19,48,.396,21,48,.438,.516,22,25,.880,13,34,47,25,8,4,16,17
36,36,2025-01-09,,MIA,L,92,97,,33,83,.398,11,36,.306,22,47,.468,.464,15,17,.882,11,38,49,20,9,7,17,15
37,37,2025-01-11,@,PHO,L,106,114,,42,96,.438,9,42,.214,33,54,.611,.484,13,18,.722,21,29,50,26,6,2,13,18
38,38,2025-01-12,,BRK,W,112,111,OT,40,90,.444,17,44,.386,23,46,.500,.539,15,20,.750,6,35,41,25,7,6,11,30
39,39,2025-01-15,,CHO,L,112,117,,43,93,.462,16,43,.372,27,50,.540,.548,10,17,.588,9,27,36,30,5,4,12,18
40,40,2025-01-17,@,NOP,L,123,136,,43,86,.500,13,38,.342,30,48,.625,.576,24,30,.800,7,33,40,30,7,8,16,20
41,41,2025-01-20,@,NOP,L,119,123,OT,42,106,.396,11,46,.239,31,60,.517,.448,24,30,.800,19,44,63,25,6,4,14,19
42,42,2025-01-22,@,OKC,L,114,123,,42,90,.467,14,37,.378,28,53,.528,.544,16,24,.667,23,29,52,25,3,6,27,20
43,43,2025-01-25,@,MEM,L,103,125,,39,92,.424,12,47,.255,27,45,.600,.489,13,16,.813,14,26,40,27,8,5,17,22
44,44,2025-01-27,,MIL,L,110,125,,41,100,.410,18,54,.333,23,46,.500,.500,10,13,.769,15,31,46,28,8,1,11,19
45,45,2025-01-28,@,GSW,L,103,114,,39,76,.513,8,26,.308,31,50,.620,.566,17,24,.708,5,34,39,30,4,6,15,24
46,46,2025-01-30,,MIN,L,113,138,,39,77,.506,14,34,.412,25,43,.581,.597,21,25,.840,3,20,23,21,6,4,15,20
47,47,2025-02-01,,ORL,W,113,99,,39,84,.464,14,35,.400,25,49,.510,.548,21,24,.875,8,43,51,26,5,7,16,27
48,48,2025-02-03,,IND,L,111,112,,39,91,.429,13,37,.351,26,54,.481,.500,20,30,.667,17,43,60,31,5,4,19,17
49,49,2025-02-05,,GSW,W,131,128,,48,92,.522,13,37,.351,35,55,.636,.592,22,27,.815,12,36,48,30,5,5,13,23
50,50,2025-02-07,@,PHO,L,127,135,OT,48,117,.410,13,48,.271,35,69,.507,.466,18,20,.900,25,38,63,29,5,7,12,16
51,51,2025-02-08,@,LAC,L,110,130,,39,83,.470,17,43,.395,22,40,.550,.572,15,18,.833,12,26,38,26,7,4,20,21
52,52,2025-02-10,@,LAL,L,113,132,,39,84,.464,12,40,.300,27,44,.614,.536,23,27,.852,11,28,39,29,6,3,19,17
53,53,2025-02-12,,LAL,W,131,119,,45,86,.523,15,41,.366,30,45,.667,.610,26,33,.788,11,37,48,30,10,8,12,21
54,54,2025-02-13,,LAC,L,116,120,OT,38,78,.487,18,45,.400,20,33,.606,.603,22,26,.846,9,38,47,23,7,1,26,25
55,55,2025-02-21,,OKC,L,107,130,,41,90,.456,15,41,.366,26,49,.531,.539,10,18,.556,14,29,43,27,7,2,21,15
56,56,2025-02-22,,HOU,W,124,115,,49,98,.500,13,40,.325,36,58,.621,.566,13,27,.481,16,42,58,28,4,3,8,18
57,57,2025-02-24,,POR,L,112,114,,39,98,.398,18,44,.409,21,54,.389,.490,16,19,.842,11,34,45,24,7,2,15,18
58,58,2025-02-26,,SAC,L,101,118,,38,84,.452,16,44,.364,22,40,.550,.548,9,17,.529,7,27,34,32,9,2,10,13
59,59,2025-02-28,,MIN,W,117,116,,47,92,.511,14,35,.400,33,57,.579,.587,9,14,.643,15,45,60,35,3,4,20,13
60,60,2025-03-02,,NOP,L,121,128,,46,96,.479,16,44,.364,30,52,.577,.563,13,17,.765,9,32,41,35,4,4,13,14
61,61,2025-03-03,,DET,L,106,134,,35,82,.427,10,33,.303,25,49,.510,.488,26,32,.813,9,32,41,19,7,1,28,23
62,62,2025-03-05,@,WAS,L,122,125,,47,101,.465,14,40,.350,33,61,.541,.535,14,20,.700,17,41,58,21,5,3,15,19
