Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-10-24,,BOS,L,102,122,,41,95,.432,7,36,.194,34,59,.576,.468,13,18,.722,10,30,40,27,9,6,15,19
2,2,2024-10-26,,CLE,L,116,135,,37,96,.385,15,43,.349,22,53,.415,.464,27,32,.844,18,28,46,25,6,9,15,25
3,3,2024-10-28,@,ATL,W,121,119,,41,91,.451,21,44,.477,20,47,.426,.566,18,22,.818,9,34,43,24,7,3,18,25
4,4,2024-10-30,,ATL,W,133,120,,47,89,.528,16,38,.421,31,51,.608,.618,23,25,.920,6,31,37,32,10,5,16,21
5,5,2024-11-02,,MIA,L,98,118,,38,91,.418,7,35,.200,31,56,.554,.456,15,21,.714,8,36,44,23,12,10,12,22
6,6,2024-11-04,,GSW,L,112,125,,42,96,.438,10,43,.233,32,53,.604,.490,18,21,.857,8,39,47,29,4,8,10,23
7,7,2024-11-08,@,MEM,L,104,128,,38,93,.409,9,35,.257,29,58,.500,.457,19,23,.826,11,30,41,27,14,8,18,27
8,8,2024-11-10,@,ORL,L,94,121,,33,72,.458,10,33,.303,23,39,.590,.528,18,25,.720,7,30,37,20,4,7,17,25
9,9,2024-11-11,@,HOU,L,92,107,,36,88,.409,11,31,.355,25,57,.439,.472,9,13,.692,8,26,34,21,14,5,19,17
10,10,2024-11-13,@,SAS,L,130,139,,49,95,.516,18,44,.409,31,51,.608,.611,14,16,.875,11,30,41,27,5,5,18,23
11,11,2024-11-15,@,ATL,L,117,129,,43,106,.406,15,43,.349,28,63,.444,.476,16,21,.762,13,39,52,28,11,5,16,23
12,12,2024-11-17,,DET,L,104,124,,39,83,.470,12,27,.444,27,56,.482,.542,14,20,.700,5,34,39,21,6,3,17,16
13,13,2024-11-18,@,NYK,L,106,134,,43,91,.473,11,33,.333,32,58,.552,.533,9,16,.563,12,29,41,23,5,3,10,19
14,14,2024-11-22,,BOS,L,96,108,,39,90,.433,7,28,.250,32,62,.516,.472,11,16,.688,10,38,48,19,6,4,20,29
15,15,2024-11-24,@,IND,L,103,115,,36,79,.456,11,35,.314,25,44,.568,.525,20,25,.800,8,33,41,24,8,5,17,19
16,16,2024-11-26,,CHI,L,108,127,,39,91,.429,10,37,.270,29,54,.537,.484,20,31,.645,5,38,43,27,7,3,14,18
17,17,2024-11-27,,LAC,L,96,121,,35,85,.412,8,33,.242,27,52,.519,.459,18,22,.818,11,29,40,21,9,4,20,18
18,18,2024-11-30,@,MIL,L,114,124,,41,87,.471,9,32,.281,32,55,.582,.523,23,24,.958,8,33,41,24,7,3,12,26
19,19,2024-12-03,@,CLE,L,87,118,,32,83,.386,4,26,.154,28,57,.491,.410,19,25,.760,13,39,52,18,4,8,21,21
20,20,2024-12-05,,DAL,L,101,137,,39,99,.394,13,40,.325,26,59,.441,.460,10,15,.667,12,27,39,25,10,3,12,19
21,21,2024-12-07,,DEN,W,122,113,,45,93,.484,16,41,.390,29,52,.558,.570,16,22,.727,15,31,46,31,9,12,17,21
22,22,2024-12-08,,MEM,L,112,140,,43,100,.430,6,32,.188,37,68,.544,.460,20,22,.909,20,32,52,20,10,5,21,25
23,23,2024-12-13,@,CLE,L,105,115,,41,86,.477,14,40,.350,27,46,.587,.558,9,11,.818,6,38,44,24,7,7,18,28
