Team,Wins,Tm,3P,3PA,2P,2PA,FT,FTA,TRB,AST,TOV,PF
Atlanta Hawks,9,2332.0,253.0,721.0,599.0,1122.0,375.0,479.0,901.0,598.0,323.0,379.0
Boston Celtics,16,2413.0,381.0,1013.0,452.0,797.0,366.0,451.0,868.0,509.0,231.0,334.0
Brooklyn Nets,9,2236.0,316.0,807.0,471.0,873.0,346.0,428.0,765.0,528.0,291.0,445.0
Charlotte Hornets,6,2150.0,324.0,894.0,448.0,926.0,282.0,360.0,915.0,458.0,323.0,425.0
Chicago Bulls,8,2359.0,325.0,849.0,532.0,965.0,320.0,406.0,884.0,575.0,315.0,369.0
Cleveland Cavaliers,17,2447.0,303.0,754.0,609.0,1029.0,320.0,406.0,858.0,564.0,262.0,370.0
Dallas Mavericks,12,2339.0,251.0,701.0,623.0,1110.0,340.0,439.0,911.0,511.0,268.0,417.0
Denver Nuggets,11,2357.0,240.0,620.0,627.0,1165.0,383.0,504.0,888.0,602.0,285.0,362.0
Detroit Pistons,8,2190.0,255.0,731.0,551.0,1030.0,323.0,426.0,930.0,499.0,326.0,404.0
Golden State Warriors,12,2322.0,313.0,839.0,538.0,1022.0,307.0,437.0,979.0,604.0,286.0,428.0
Houston Rockets,14,2287.0,235.0,715.0,606.0,1190.0,370.0,482.0,999.0,463.0,268.0,412.0
Indiana Pacers,9,2287.0,246.0,660.0,608.0,1097.0,333.0,428.0,804.0,552.0,295.0,409.0
Los Angeles Clippers,12,2186.0,244.0,663.0,556.0,1055.0,342.0,443.0,921.0,504.0,336.0,386.0
Los Angeles Lakers,12,2279.0,241.0,677.0,582.0,1042.0,392.0,500.0,811.0,535.0,251.0,324.0
Memphis Grizzlies,13,2419.0,257.0,734.0,637.0,1104.0,374.0,487.0,965.0,608.0,341.0,421.0
Miami Heat,10,2226.0,301.0,793.0,489.0,975.0,345.0,445.0,870.0,525.0,256.0,325.0
Milwaukee Bucks,11,2281.0,292.0,741.0,539.0,973.0,327.0,448.0,866.0,481.0,279.0,372.0
Minnesota Timberwolves,10,2221.0,301.0,806.0,488.0,891.0,342.0,427.0,835.0,492.0,321.0,380.0
New Orleans Pelicans,4,2076.0,216.0,648.0,554.0,1117.0,320.0,420.0,871.0,480.0,306.0,344.0
New York Knicks,12,2356.0,286.0,727.0,590.0,1036.0,318.0,382.0,855.0,556.0,253.0,354.0
Oklahoma City Thunder,15,2280.0,270.0,784.0,574.0,1056.0,322.0,402.0,864.0,508.0,235.0,423.0
Orlando Magic,13,2154.0,240.0,774.0,529.0,945.0,376.0,476.0,841.0,494.0,288.0,393.0
Philadelphia 76ers,5,2104.0,238.0,730.0,514.0,991.0,362.0,467.0,788.0,431.0,288.0,420.0
Phoenix Suns,12,2254.0,297.0,793.0,502.0,917.0,359.0,461.0,869.0,532.0,277.0,364.0
Portland Trailblazers,8,2121.0,231.0,705.0,542.0,1101.0,344.0,452.0,880.0,436.0,337.0,391.0
Sacramento Kings,9,2274.0,230.0,698.0,608.0,1042.0,368.0,462.0,861.0,490.0,288.0,403.0
San Antonio Spurs,11,2222.0,289.0,807.0,502.0,910.0,351.0,434.0,884.0,563.0,303.0,325.0
Toronto Raptors,5,2249.0,219.0,643.0,627.0,1185.0,338.0,462.0,927.0,572.0,326.0,453.0
Utah Jazz,4,2167.0,254.0,745.0,516.0,974.0,373.0,476.0,892.0,485.0,360.0,379.0
Washington Wizards,2,2134.0,224.0,716.0,564.0,1084.0,334.0,431.0,846.0,485.0,317.0,435.0
