Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Atlanta Hawks,40,42,38,44,-1.13,-0.28,-1.41,114.6,115.7,102.6,.252,.410,.546,13.2,26.3,.196,.560,13.8,76.0,.202,State Farm Arena,657613
Boston Celtics,61,21,62,20,9.11,-0.83,8.28,120.6,111.1,95.7,.212,.536,.561,10.8,25.7,.169,.522,11.6,76.0,.154,TD Garden,785396
Brooklyn Nets,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,96.4,.240,.458,.516,13.7,24.5,.189,.557,13.7,75.0,.218,Barclays Center,713304
Charlotte Hornets,19,63,20,62,-9.11,0.01,-9.10,107.3,116.6,97.6,.222,.430,.503,13.7,26.5,.174,.547,11.9,74.5,.190,Spectrum Center,703935
Chicago Bulls,39,43,37,45,-1.56,-0.27,-1.83,114.1,115.6,102.8,.214,.457,.553,12.7,22.3,.173,.539,10.8,76.6,.178,United Center,825659
Cleveland Cavaliers,64,18,62,20,9.54,-0.73,8.81,121.7,112.2,99.8,.241,.457,.578,11.6,25.9,.187,.528,12.6,74.8,.181,Rocket Arena,796712
Dallas Mavericks,39,43,38,44,-1.20,0.46,-0.74,114.8,116.0,99.2,.263,.389,.549,12.5,23.3,.203,.540,11.6,73.1,.179,American Airlines Center,803174
Denver Nuggets,50,32,50,32,3.89,0.08,3.97,119.9,116.0,99.8,.259,.356,.573,12.5,26.7,.200,.542,11.3,74.6,.173,Ball Arena,811211
Detroit Pistons,44,38,46,36,1.90,-0.17,1.73,115.0,113.1,99.8,.248,.394,.547,13.0,26.2,.192,.539,13.3,76.0,.214,Little Caesars Arena,781929
Golden State Warriors,48,34,49,33,3.30,0.25,3.56,115.0,111.7,98.7,.244,.469,.536,12.3,27.3,.187,.541,14.1,75.6,.189,Chase Center,740624
Houston Rockets,52,30,52,30,4.51,0.45,4.97,115.3,110.8,98.6,.242,.384,.523,11.8,31.7,.178,.528,12.8,76.2,.186,Toyota Center,716853
Indiana Pacers,50,32,46,36,2.23,-0.55,1.68,116.5,114.3,99.9,.241,.400,.562,11.8,21.3,.190,.546,13.1,74.5,.190,Gainbridge Fieldhouse,685434
Los Angeles Clippers,50,32,53,29,4.66,0.18,4.84,115.1,110.3,97.5,.251,.387,.554,13.4,24.4,.200,.536,13.7,77.5,.189,Intuit Dome,679593
Los Angeles Lakers,50,32,44,38,1.22,0.23,1.45,115.9,114.7,97.6,.271,.425,.557,12.7,23.3,.213,.539,12.2,74.5,.178,Crypto.com Arena,767626
Memphis Grizzlies,48,34,52,30,4.85,-0.06,4.79,117.7,113.0,103.3,.249,.406,.554,13.1,28.7,.196,.533,12.9,74.9,.206,FedEx Forum,683067
Miami Heat,37,45,42,40,0.56,-0.45,0.11,113.5,112.9,96.2,.232,.429,.544,12.4,22.3,.183,.543,12.5,75.8,.157,Kaseya Center,808337
Milwaukee Bucks,48,34,47,35,2.48,-0.36,2.12,115.9,113.4,99.3,.268,.424,.568,12.2,19.3,.201,.533,11.4,76.2,.174,Fiserv Forum,732014
Minnesota Timberwolves,49,33,53,29,5.00,0.15,5.15,116.6,111.5,97.3,.249,.455,.554,13.0,25.8,.196,.532,13.2,75.1,.178,Target Center,772249
New Orleans Pelicans,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,99.1,.244,.385,.519,12.8,26.3,.184,.564,12.3,72.7,.190,Smoothie King Center,689400
New York Knicks,51,31,51,31,4.10,-0.51,3.59,118.5,114.3,96.7,.232,.382,.556,11.9,26.0,.186,.549,13.1,74.5,.176,Madison Square Garden (IV),811794
Oklahoma City Thunder,68,14,68,14,12.87,-0.16,12.70,120.3,107.5,100.0,.220,.419,.560,10.3,24.2,.180,.513,14.9,74.6,.211,Paycom Center,754832
Orlando Magic,41,41,41,41,-0.12,-0.58,-0.70,109.4,109.6,96.1,.269,.411,.510,12.9,25.3,.208,.538,15.0,77.0,.220,Kia Center,762121
Philadelphia 76ers,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,97.4,.257,.426,.527,12.3,23.4,.201,.570,14.3,71.8,.194,Wells Fargo Center,813621
Phoenix Suns,36,46,34,48,-3.00,0.45,-2.55,116.2,119.3,97.1,.241,.440,.561,12.8,22.6,.195,.552,10.9,74.1,.191,Footprint Center,699911
Portland Trailblazers,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,98.8,.246,.418,.521,13.8,29.2,.187,.543,13.6,72.5,.204,Moda Center,719369
Sacramento Kings,40,42,42,40,0.48,0.11,0.58,116.7,116.2,98.2,.235,.391,.548,11.8,25.4,.190,.557,12.5,76.9,.200,Golden 1 Center,696409
San Antonio Spurs,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,99.3,.234,.441,.544,12.3,24.3,.181,.551,12.0,73.0,.158,Frost Bank Center,731474
Toronto Raptors,30,52,30,52,-4.29,-0.11,-4.40,110.5,114.8,99.7,.232,.373,.522,13.3,27.3,.173,.541,13.2,73.9,.222,Scotiabank Arena,768573
Utah Jazz,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,100.0,.252,.449,.533,14.9,26.9,.195,.559,10.3,74.1,.185,Delta Center,745175
Washington Wizards,18,64,15,67,-12.44,0.30,-12.14,106.8,119.1,100.9,.229,.435,.512,13.6,22.7,.178,.548,11.4,71.9,.202,Capital One Arena,663691
